Rxn,Rxn_Name,Rule,Pathway,Formula
1PPDCRp,"delta1-piperideine-2-carboxylate reductase, perixosomal",,"Lysine metabolism","1-piperideine-2-carboxylate + proton + Nicotinamide adenine dinucleotide - reduced  -> L-pipecolic acid + Nicotinamide adenine dinucleotide "
24_25DHVITD2t,"24,25-Dihydroxyvitamin D2 transport from cytoplasm",,"Transport, extracellular","24R,25-Dihyoxyvitamin D2  -> 24R,25-Dihyoxyvitamin D2 "
24_25DHVITD2tm,"24,25-Dihydroxyvitamin D2 transport from mitochondria",,"Transport, mitochondrial","24R,25-Dihyoxyvitamin D2  -> 24R,25-Dihyoxyvitamin D2 "
24_25DHVITD3t,"24,25-Dihydroxyvitamin D3 transport from cytoplasm",,"Transport, extracellular","(24R)-24,25-dihydroxycalciol  -> (24R)-24,25-dihydroxycalciol "
24_25DHVITD3tm,"24,25-Dihydroxyvitamin D3 transport from mitochondria",,"Transport, mitochondrial","(24R)-24,25-dihydroxycalciol  -> (24R)-24,25-dihydroxycalciol "
24_25VITD2Hm,"24R-Vitamin D-25-hydroxylase (D2)",(CYP24A1),"Vitamin D metabolism","proton + Nicotinamide adenine dinucleotide phosphate - reduced + O2 + 25-Hydroxyvitamin D2  -> 24R,25-Dihyoxyvitamin D2 + Water + Nicotinamide adenine dinucleotide phosphate "
24_25VITD3Hm,"24R-Vitamin D-25-hydroxylase (D3)",(CYP24A1),"Vitamin D metabolism","proton + Nicotinamide adenine dinucleotide phosphate - reduced + O2 + calcidiol  -> Water + Nicotinamide adenine dinucleotide phosphate + (24R)-24,25-dihydroxycalciol "
24NPHte,"xenobiotic transport",,"Transport, extracellular","2-hydroxy-4-nitrophenolate  <=> 2-hydroxy-4-nitrophenolate "
25HVITD2t,"25-hydroxyvitamin D2 transport from cytoplasm",,"Transport, extracellular","25-Hydroxyvitamin D2  -> 25-Hydroxyvitamin D2 "
25HVITD2tin,"25-hydroxyvitamin D2 transport in cytoplasm",,"Transport, extracellular","25-Hydroxyvitamin D2  -> 25-Hydroxyvitamin D2 "
25HVITD2tin_m,"25-hydroxyvitamin D2 transport in mitochondria",,"Transport, mitochondrial","25-Hydroxyvitamin D2  -> 25-Hydroxyvitamin D2 "
25HVITD2tm,"25-hydroxyvitamin D2 transport from mitochondria",,"Transport, mitochondrial","25-Hydroxyvitamin D2  -> 25-Hydroxyvitamin D2 "
25HVITD3t,"25-hydroxyvitamin D3 transport from cytoplasm",,"Transport, extracellular","calcidiol  -> calcidiol "
25HVITD3tin,"25-hydroxyvitamin D3 transport in cytoplasm",(GC) & (LRP2) & (CUBN),"Transport, extracellular","calcidiol  -> calcidiol "
25HVITD3tin_m,"25-hydroxyvitamin D3 transport in mitochondria",,"Transport, mitochondrial","calcidiol  -> calcidiol "
25HVITD3tm,"25-hydroxyvitamin D3 transport from mitochondria",,"Transport, mitochondrial","calcidiol  -> calcidiol "
2AMACHYD,"2-Aminoacrylate hydrolysis",(SDS),"Glycine, serine, alanine and threonine metabolism","Water + 2-aminoacrylic acid  -> Ammonium + pyruvate "
2AMACSULT,"2-Aminoacrylate sulfotransferase",(SULT1A3) ,"Methionine and cysteine metabolism","2-aminoacrylic acid + Nicotinamide adenine dinucleotide phosphate - reduced + (2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate  -> L-cysteate(1-) + Nicotinamide adenine dinucleotide phosphate + adenosine 3',5'-bismonophosphate(4-) "
2AMADPTm,"L-2-aminoadipate shuttle (cytosol/mitochondria)",(SLC25A21),"Lysine metabolism","L-2-aminoadipate(1-) + 2-Oxoglutarate  -> L-2-aminoadipate(1-) + 2-Oxoglutarate "
2DR1PP,"2-deoxy-D-ribose 1-phosphate phosphorylase",,"Pyrimidine catabolism","Water + 2-Deoxy-D-ribose 1-phosphate  -> hydrogenphosphate + 2-deoxy-D-ribose "
2HBO,"2-Hydroxybutyrate:NAD+ oxidoreductase",(LDHAL6B) | (LDHC) | (UEVLD) | (LDHB & LDHA) | (LDHA) | (LDHAL6A) | (LDHB) | (LDHC),"Propanoate metabolism","2-Hydroxybutyrate + Nicotinamide adenine dinucleotide  <=> proton + 2-Oxobutanoate + Nicotinamide adenine dinucleotide - reduced "
2HBt2,"2-hydroxybutyrate cotransport with proton",(SLC16A3) | (SLC16A7) | (SLC16A1),"Transport, extracellular","2-Hydroxybutyrate + proton  <=> proton + 2-Hydroxybutyrate "
2HCO3_NAt,"bicarbonate transport (Na/HCO3 1:2 cotransport)",(SLC4A5) | (SLC4A4) | (SLC4A5) | (SLC4A5) | (SLC4A5),"Transport, extracellular","2 Bicarbonate + Sodium  <=> 2 Bicarbonate + Sodium "
2MCITt,"2-methylcitrate transport via diffusion",,"Transport, extracellular","2-methylcitrate(3-)  <=> 2-methylcitrate(3-) "
2OXOADOXm,"2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria)",(OGDH) & (DLD & PDHX) & (DLST) | (OGDH) & (DLD & PDHX) & (DLST),"Lysine metabolism","2-oxoadipate(2-) + Coenzyme A + Nicotinamide adenine dinucleotide  -> carbon dioxide + glutaryl-CoA(5-) + Nicotinamide adenine dinucleotide - reduced "
2OXOADPTm,"2-oxoadipate shuttle (cytosol/mitochondria)",SLC25A21,"Tryptophan metabolism","2-Oxoglutarate + 2-oxoadipate(2-)  <=> 2-Oxoglutarate + 2-oxoadipate(2-) "
34DHOXPEGOX,"3,4-Dihydroxyphenylethyleneglycol:NAD+ oxidoreductase",(ADH6) | (ADH4) | (ADH1B & ADH1A) | (ADH7) | (ADH1C & ADH1A) | (ADH5) | (ADHFE1) | (ADH1B & ADH1C),"Tyrosine metabolism","proton + Nicotinamide adenine dinucleotide - reduced + 3,4-Dihydroxymandelaldehyde  <=> Nicotinamide adenine dinucleotide + 3,4-Dihydroxyphenylethyleneglycol "
34DHOXPEGt,"3,4-Dihydroxyphenylethyleneglycol transport (diffusion)",,"Transport, extracellular","3,4-Dihydroxyphenylethyleneglycol  <=> 3,4-Dihydroxyphenylethyleneglycol "
34DHPHEt,"3,4-Dihydroxy-L-phenylalanine transport",(SLC16A10),"Transport, extracellular","L-dopa  <=> L-dopa "
34DHPLACOX,"3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase",(ALDH3A1) | (ALDH3B2) | (ALDH1A3) | (ALDH3B1),"Tyrosine metabolism","Water + Nicotinamide adenine dinucleotide + 3,4-Dihydroxyphenylacetaldehyde  -> 2 proton + Nicotinamide adenine dinucleotide - reduced + (3,4-dihydroxyphenyl)acetate "
34DHPLACOX_NADP_,"3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase",(ALDH3B2) | (ALDH3B1) | (ALDH3A1),"Tyrosine metabolism","Water + Nicotinamide adenine dinucleotide phosphate + 3,4-Dihydroxyphenylacetaldehyde  <=> 2 proton + Nicotinamide adenine dinucleotide phosphate - reduced + (3,4-dihydroxyphenyl)acetate "
34DHXMANDACOX,"3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase",(ALDH3B1) | (ALDH3A1) | (ALDH1A3),"Tyrosine metabolism","Water + Nicotinamide adenine dinucleotide + 3,4-Dihydroxymandelaldehyde  -> 2 proton + Nicotinamide adenine dinucleotide - reduced + 3,4-Dihydroxymandelate "
34DHXMANDACOX_NADP_,"3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase",(ALDH3B1) | (ALDH3B2),"Tyrosine metabolism","Water + Nicotinamide adenine dinucleotide phosphate + 3,4-Dihydroxymandelaldehyde  <=> 2 proton + Nicotinamide adenine dinucleotide phosphate - reduced + 3,4-Dihydroxymandelate "
34HPLFM,"3-(4-hydroxyphenyl-)lactate formation",,"Ubiquinone synthesis","proton + Nicotinamide adenine dinucleotide - reduced + 3-(4-hydroxyphenyl)pyruvate  -> Nicotinamide adenine dinucleotide + 3-(4-hydroxyphenyl)lactate "
34HPPOR,"4-Hydroxyphenylpyruvate:oxygen oxidoreductase",HPD,"Tyrosine metabolism","O2 + 3-(4-hydroxyphenyl)pyruvate  -> carbon dioxide + homogentisate "
35CGMPtn,"35cGMP nuclear transport",,"Transport, nuclear","3',5'-cyclic GMP(1-)  <=> 3',5'-cyclic GMP(1-) "
3AIBt,"3-amino-isobutyrate transport",,"Transport, extracellular","(S)-3-aminoisobutyric acid  -> (S)-3-aminoisobutyric acid "
3AIBTm,"L-3-aminoisobutyrate transaminase, mitochondrial",(ABAT) | (ABAT),"Valine, leucine, and isoleucine metabolism","2-methyl-3-oxopropanoate + L-glutamate(1-)  <=> 2-Oxoglutarate + (S)-3-aminoisobutyric acid "
3AIBtm,"3-amino-isobutyrate transport, mitochondrial",(ABAT) | (ABAT),"Transport, mitochondrial","(S)-3-aminoisobutyric acid  -> (S)-3-aminoisobutyric acid "
3DPHBH1,"Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADH)",,"Ubiquinone synthesis","proton + O2 + Nicotinamide adenine dinucleotide - reduced + 3-Decaprenyl-4-hydroxybenzoate  -> Water + Nicotinamide adenine dinucleotide + 3-Decaprenyl-4,5-dihdydroxybenzoate "
3DPHBH2,"Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADPH)",,"Ubiquinone synthesis","proton + Nicotinamide adenine dinucleotide phosphate - reduced + O2 + 3-Decaprenyl-4-hydroxybenzoate  -> Water + Nicotinamide adenine dinucleotide phosphate + 3-Decaprenyl-4,5-dihdydroxybenzoate "
3DSPHR,"3-Dehydrosphinganine reductase",KDSR,"Sphingolipid metabolism","proton + Nicotinamide adenine dinucleotide phosphate - reduced + (2S)-1-hydroxy-3-oxooctadecan-2-aminium  -> Nicotinamide adenine dinucleotide phosphate + sphinganine(1+) "
3HAO,"3-hydroxyanthranilate 3,4-dioxygenase",HAAO,"Tryptophan metabolism","O2 + 3-hydroxyanthranilate  -> proton + cis,cis-2-amino-3-(3-oxoprop-1-enyl)but-2-enedioate "
3HBCDm,"3-hydroxybutyryl-CoA dehydratase, mitochondrial",(ECHDC2),"Butanoate metabolism","Water + crotonoyl-CoA(4-)  <=> (R)-3-hydroxybutanoyl-CoA(4-) "
3HBCOAHLm,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",,"Valine, leucine, and isoleucine metabolism","Water + (S)-3-Hydroxyisobutyryl-CoA  -> proton + Coenzyme A + 3-hydroxy-2-methylpropanoate "
3HKYNAKGAT,"3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase",(AADAT) | (KYAT1) | (AADAT),"Tryptophan metabolism","2-Oxoglutarate + 3-hydroxy-L-kynurenine  -> 4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate + L-glutamate(1-) "
3HLYTCL,"3-Hydroxy-L-tyrosine carboxy-lyase",(DDC),"Tyrosine metabolism","proton + L-dopa  -> carbon dioxide + dopaminium(1+) "
3MLDAt,"3MLDA extracellular transport via diffusion",,"Transport, extracellular","3-Methylimidazoleacetic acid  <=> 3-Methylimidazoleacetic acid "
3MOBt2im,"3-methyl-2-oxobutanoate mitochondrial transport via proton symport",,"Transport, mitochondrial","proton + 3-methyl-2-oxobutanoate  -> proton + 3-methyl-2-oxobutanoate "
3MOPt2im,"3-Methyl-2-oxopentanoate mitochondrial transport via proton symport",,"Transport, mitochondrial","proton + 3-methyl-2-oxopentanoate  -> proton + 3-methyl-2-oxopentanoate "
3MOX4HOXPGALDOX,"3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase",(ALDH3B2) | (ALDH1A3) | (ALDH3B1) | (ALDH3A1),"Tyrosine metabolism","Water + Nicotinamide adenine dinucleotide + 3-Methoxy-4-hydroxyphenylglycolaldehyde  -> 2 proton + Nicotinamide adenine dinucleotide - reduced + 3-Methoxy-4-hydroxymandelate "
3MOX4HOXPGALDOX_NADP_,"3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase",(ALDH3B2) | (ALDH1A3) | (ALDH3B1) | (ALDH3A1),"Tyrosine metabolism","Water + Nicotinamide adenine dinucleotide phosphate + 3-Methoxy-4-hydroxyphenylglycolaldehyde  <=> 2 proton + Nicotinamide adenine dinucleotide phosphate - reduced + 3-Methoxy-4-hydroxymandelate "
3SALAASPm,"cysteinesulfinate-aspartate mitochondrial shuttle",(SLC25A13) | (SLC25A12),"Transport, mitochondrial","3-Sulfino-L-alanine + L-aspartate(1-)  <=> 3-Sulfino-L-alanine + L-aspartate(1-) "
3SALACBOXL,"3-Sulfino-L-alanine carboxy-lyase",(CSAD) | (GAD1) | (GAD2) | (GAD1),"Taurine and hypotaurine metabolism","2 proton + 3-Sulfino-L-alanine  -> carbon dioxide + Hypotaurine "
3SALAOX,"cysteinesulfinic acid oxidase",,"Taurine and hypotaurine metabolism","O2 + 2 proton + 2 3-Sulfino-L-alanine  -> 2 L-cysteate(1-) "
3SALATAi,"3-sulfino-alanine transaminase (irreversible)",(GOT1),"Methionine and cysteine metabolism","proton + 2-Oxoglutarate + 3-Sulfino-L-alanine  -> L-glutamate(1-) + 3-Sulfinopyruvate "
3SALATAim,"3-sulfino-alanine transaminase (irreversible), mitochondrial",(GOT2),"Methionine and cysteine metabolism","proton + 2-Oxoglutarate + 3-Sulfino-L-alanine  -> L-glutamate(1-) + 3-Sulfinopyruvate "
3SPYRSP,"3-sulfinopyruvate hydrolase (spotaneous reaction)",,"Methionine and cysteine metabolism","Water + 3-Sulfinopyruvate  -> proton + pyruvate + Sulfite "
3SPYRSPm,"3-sulfinopyruvate hydrolase (spotaneous reaction), mitochondrial",,"Methionine and cysteine metabolism","Water + 3-Sulfinopyruvate  -> proton + pyruvate + Sulfite "
41R1H2MAE12BOOX,"4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",(MAOA) | (MAOB),"Tyrosine metabolism","Water + O2 + Adrenaline  -> Hydrogen peroxide + 3,4-Dihydroxymandelaldehyde + methylammonium "
41R2A1H12BOOX,"4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",(MAOA) | (MAOB),"Tyrosine metabolism","Water + O2 + Norepinephrine  -> Hydrogen peroxide + Ammonium + 3,4-Dihydroxymandelaldehyde "
4ABUTtm,"4-aminobutanoate mitochondrial transport via diffusion",,"Transport, mitochondrial","4-Aminobutanoate  <=> 4-Aminobutanoate "
4HBZCOAFm,"4-hydroxybenzoyl-CoA formation",,"Ubiquinone synthesis","Water + Coenzyme A + Nicotinamide adenine dinucleotide + 4-coumaroyl-CoA(4-)  -> proton + Nicotinamide adenine dinucleotide - reduced + 4-hydroxybenoyl-CoA + Acetyl-CoA "
4HBZFm,"4-hydroxybenzoate formation",,"Ubiquinone synthesis","Water + 4-hydroxybenoyl-CoA  -> proton + Coenzyme A + 4-hydroxybenzoate "
4HDEBRISOQUINEte,"xenobiotic transport",,"Transport, extracellular","4 hydroxy debrisoquine  <=> 4 hydroxy debrisoquine "
4HGLSDm,"L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial",(ALDH4A1) | (ALDH4A1),"Arginine and Proline Metabolism","Water + Nicotinamide adenine dinucleotide + L-4-hydroxyglutamic semialdehyde  -> 2 proton + Nicotinamide adenine dinucleotide - reduced + erythro-4-hydroxy-L-glutamate(1-) "
4HOXPACDOX_NADP_,"4-Hydroxyphenylacetaldehyde:NADP+ oxidoreductase",(ALDH3B2) | (ALDH1A3) | (ALDH3B1) | (ALDH3A1),"Tyrosine metabolism","Water + Nicotinamide adenine dinucleotide phosphate + (4-hydroxyphenyl)acetaldehyde  <=> 2 proton + Nicotinamide adenine dinucleotide phosphate - reduced + 4-hydroxyphenylacetate "
4MOPt2im,"4-methyl-2-oxopentanoate mitochondrial transport  via proton symport",,"Transport, mitochondrial","proton + 4-methyl-2-oxopentanoate  -> proton + 4-methyl-2-oxopentanoate "
4MPTNLte,"4-methylpentanal transport",,"Transport, extracellular","4-methylpentanal  <=> 4-methylpentanal "
4MPTNLtm,"4-methylpentanal transport (mitochondria)",,"Transport, mitochondrial","4-methylpentanal  <=> 4-methylpentanal "
4MTOLBUTAMIDEte,"xenobiotic transport",,"Transport, extracellular","4 hydroxy tolbutamide  <=> 4 hydroxy tolbutamide "
4NPHSFte,"xenobiotic transport",,"Transport, extracellular","4-Nitrophenyl sulfate  <=> 4-Nitrophenyl sulfate "
4NPHSULT,"4-Nitrophenol Sulfotransferase",(SULT1A2) | (SULT1A1) | (SULT1A2) | (SULT1A3) | (SULT1A1) | (SULT1A3) | (SULT1A1) | (SULT1A1) | (SULT1A3) | (SULT1A1),"Cytochrome metabolism","(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate + 4-nitrophenolate  -> proton + adenosine 3',5'-bismonophosphate(4-) + 4-Nitrophenyl sulfate "
4NPHte,"xenobiotic transport",,"Transport, extracellular","4-nitrophenolate  <=> 4-nitrophenolate "
4PYRDX,"4-Pyridoxal secretion",,"Transport, extracellular","Water + ATP + 4-pyridoxate  -> ADP + proton + hydrogenphosphate + 4-pyridoxate "
5ADTSTSTERONEGLCte,"glucuronidated compound transport",(ABCC1),"Transport, extracellular","Water + ATP + 5alpha-Dihydrotestosterone glucuronide  -> ADP + proton + hydrogenphosphate + 5alpha-Dihydrotestosterone glucuronide "
5ADTSTSTERONEGLCtr,"glucuronidated compound transport",,"Transport, endoplasmic reticular","5alpha-Dihydrotestosterone glucuronide  <=> 5alpha-Dihydrotestosterone glucuronide "
5ADTSTSTERONESte,"sulfonated testosterone transport",,"Transport, extracellular","5alpha-Dihydrotestosterone sulfate  <=> 5alpha-Dihydrotestosterone sulfate "
5ADTSTSTERONESULT,"5alpha-Dihydrotestosterone sulfotransferase",(SULT2A1) | (SULT1A3),"Steroid metabolism","(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate + 17beta-hydroxy-5alpha-androstan-3-one  -> proton + adenosine 3',5'-bismonophosphate(4-) + 5alpha-Dihydrotestosterone sulfate "
5ADTSTSTERONEte,"5 alpha dihydrotesterone transport",,"Transport, extracellular","17beta-hydroxy-5alpha-androstan-3-one  <=> 17beta-hydroxy-5alpha-androstan-3-one "
5ADTSTSTERONEtr,"5 alpha dihydrotesterone intracellular transport",,"Transport, endoplasmic reticular","17beta-hydroxy-5alpha-androstan-3-one  <=> 17beta-hydroxy-5alpha-androstan-3-one "
5AOPtm,"5-Aminolevulinate mitochondrial transport",,"Heme synthesis","5-Amino-4-oxopentanoate  <=> 5-Amino-4-oxopentanoate "
5DHFtl,"5-glutamyl-DHF transport, lysosomal",,"Transport, lysosomal","pentaglutamyl folate (DHF)  -> pentaglutamyl folate (DHF) "
5FTHFt2,"5-formyltetrahydrofolate transport via anion exchange",(SLC19A1) | (SLC19A1),"Transport, extracellular","Water + 5-formyltetrahydrofolate(2-)  <=> 5-formyltetrahydrofolate(2-) + Water "
5HLTDL,"5-Hydroxy-L-tryptophan decarboxy-lyase",(DDC),"Tryptophan metabolism","proton + 5-hydroxy-L-tryptophan  -> carbon dioxide + serotonin(1+) "
5HOMEPRAZOLEte,"xenobiotic transport",,"Transport, extracellular","5 hydroxy omeprazole  <=> 5 hydroxy omeprazole "
5HOXINDACTO2OX,"5-Hydroxyindoleacetaldehyde:oxygen oxidoreductase",(AOX1),"Tryptophan metabolism","Water + O2 + (5-hydroxyindol-3-yl)acetaldehyde  -> Hydrogen peroxide + proton + 5-Hydroxyindoleacetate "
5HTRPVESSEC,"5-hydroxy-L-tryptophan secretion via secretory vesicle (ATP driven)",(SLC18A1) | (SLC18A2),"Transport, extracellular","Water + ATP + 5-hydroxy-L-tryptophan  -> ADP + proton + hydrogenphosphate + 5-hydroxy-L-tryptophan "
5MTHFt,"5-Methyltetrahydrofolate transport via receptor binding and protolysis",(FOLR1) | (FOLR1) | (FOLR1) | (FOLR1) | (FOLR3) | (FOLR1) | (FOLR1),"Transport, extracellular","5-Methyltetrahydrofolate  <=> 5-Methyltetrahydrofolate "
5MTHFt2,"5-methyltetrahydrofolate transport via anion exchange",(SLC19A1) | (SLC19A1),"Transport, extracellular","Water + 5-Methyltetrahydrofolate  <=> Water + 5-Methyltetrahydrofolate "
5THFtl,"5-glutamyl-THF transport, lysosomal",,"Transport, lysosomal","pentaglutamyl folate (THF)  -> pentaglutamyl folate (THF) "
5THFtm,"5-glutamyl-THF transport,m mitochondrial",,"Transport, mitochondrial","pentaglutamyl folate (THF)  -> pentaglutamyl folate (THF) "
6DHFtl,"6-glutamyl-DHF transport, lysosomal",,"Transport, lysosomal","hexaglutamyl folate (DHF)  -> hexaglutamyl folate (DHF) "
6DHFtm,"6-glutamyl-DHF transport,m mitochondrial",,"Transport, mitochondrial","hexaglutamyl folate (DHF)  -> hexaglutamyl folate (DHF) "
6HTSTSTERONEte,"hydroxylated testosterone transport",,"Transport, extracellular","6 beta hydroxy testosterone  <=> 6 beta hydroxy testosterone "
6HTSTSTERONEtr,"hydroxylated testosterone transport",,"Transport, endoplasmic reticular","6 beta hydroxy testosterone  <=> 6 beta hydroxy testosterone "
6THFtl,"6-glutamyl-THF transport, lysosomal",,"Transport, lysosomal","hexaglutamyl folate  (THF)  -> hexaglutamyl folate  (THF) "
6THFtm,"6-glutamyl-THF transport,m mitochondrial",,"Transport, mitochondrial","hexaglutamyl folate  (THF)  -> hexaglutamyl folate  (THF) "
7DHCHSTEROLtr,"cholesterol precursor intracellular transport",,"Transport, endoplasmic reticular","cholesta-5,7-dien-3beta-ol  <=> cholesta-5,7-dien-3beta-ol "
7DHFtl,"7-glutamyl-DHF transport, lysosomal",,"Transport, lysosomal","heptaglutamyl folate (DHF)  -> heptaglutamyl folate (DHF) "
7DHFtm,"7-glutamyl-DHF transport,m mitochondrial",,"Transport, mitochondrial","heptaglutamyl folate (DHF)  -> heptaglutamyl folate (DHF) "
7THFtl,"7-glutamyl-THF transport, lysosomal",,"Transport, lysosomal","heptaglutamyl folate (THF)  -> heptaglutamyl folate (THF) "
7THFtm,"7-glutamyl-THF transport,m mitochondrial",,"Transport, mitochondrial","heptaglutamyl folate (THF)  -> heptaglutamyl folate (THF) "
A_MANASEly,"alpha-mannosidase, lysosomal",(MAN2B1),"N-glycan degradation","2 Water + (alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine  -> 2 D-Mannose + beta-1,4-mannose-N-acetylglucosamine "
A4GALTg,"Lactosylceramide 4-alpha-galactosyltransferase",(A4GALT),"Sphingolipid metabolism","galactosyl glucosyl ceramide + UDP-D-galactose(2-)  -> proton + trihexosyl ceramide + UDP "
A4GNT2g,"alpha 1,4-N-acetylglucosaminyltransferase, Golgi apparatus",(A4GNT),"O-glycan synthesis","UDP-N-acetyl-alpha-D-glucosamine(2-) + Core 2  -> proton + UDP + GlcNAc-alpha-1,4-Core 2 "
AACOAT,"Acetoacetyl-CoA:acetate CoA-transferase",AACS,"Propanoate metabolism","ATP + Coenzyme A + acetoacetate  -> Acetoacetyl-CoA + AMP + Diphosphate "
AACTOOR,"Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)",(AOC3),"Glycine, serine, alanine and threonine metabolism","Water + O2 + ammonioacetone  -> Hydrogen peroxide + Ammonium + methylglyoxal "
AACTtm,"Aminoacetone transport (mitochondrial)",,"Transport, mitochondrial","ammonioacetone  -> ammonioacetone "
AASAD3m,"L-aminoadipate-semialdehyde dehydrogenase (NADH), mitochondrial",,"Lysine metabolism","Water + Nicotinamide adenine dinucleotide + L-allysine  -> 2 proton + L-2-aminoadipate(1-) + Nicotinamide adenine dinucleotide - reduced "
AATAi,"2-aminoadipate transaminase, irreversible",(AADAT) | (AADAT),"Lysine metabolism","L-2-aminoadipate(1-) + 2-Oxoglutarate  <=> 2-oxoadipate(2-) + L-glutamate(1-) "
ABO1g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",(ABO),"Blood group synthesis","Type IH glycolipid + UDP-N-acetyl-D-galactosamine(2-)  -> proton + UDP + Type IA glycolipid "
ABO2g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",(ABO),"Blood group synthesis","UDP-D-galactose(2-) + Type IH glycolipid  -> proton + UDP + Type IB glycolipid "
ABO3g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",(ABO),"Blood group synthesis","UDP-D-galactose(2-) + Type IIH glycolipid  -> proton + UDP + (Gal)3 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1 "
ABO4g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",(ABO),"Blood group synthesis","UDP-N-acetyl-D-galactosamine(2-) + Type IIH glycolipid  -> proton + UDP + (Gal)2 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1 "
