Var1,Var2
paps[c],"3'-Phosphoadenylyl Sulfate"
Lcyst[c],"L-Cysteic Acid"
pap[c],"Adenosine 3,5-Bismonophosphate"
L2aadp[c],"L-2-Aminoadipate"
L2aadp[m],"L-2-Aminoadipate"
akg[m],"2-Oxoglutarate"
akg[c],"2-Oxoglutarate"
2dr1p[c],"2-Deoxy-D-Ribose 1-Phosphate"
drib[c],"2-Deoxy-D-Ribose"
nadh[c],"Nicotinamide Adenine Dinucleotide - Reduced"
nad[c],"Nicotinamide Adenine Dinucleotide"
2hb[c],"2-Hydroxybutyrate"
2obut[c],"2-Oxobutanoate"
h[e],"Proton"
2hb[e],"2-Hydroxybutyrate"
hco3[e],"Bicarbonate"
hco3[c],"Bicarbonate"
na1[e],"Sodium"
na1[c],"Sodium"
2mcit[c],"2-Methylcitrate"
2mcit[e],"2-Methylcitrate"
nadh[m],"Nicotinamide Adenine Dinucleotide - Reduced"
nad[m],"Nicotinamide Adenine Dinucleotide"
2oxoadp[m],"2-Oxoadipate"
coa[m],"Coenzyme A"
co2[m],"Carbon Dioxide"
glutcoa[m],"Glutaryl Coenzyme A"
2oxoadp[c],"2-Oxoadipate"
34dhmald[c],"3,4-Dihydroxymandelaldehyde"
34dhoxpeg[c],"3,4-Dihydroxyphenylethyleneglycol"
34dhoxpeg[e],"3,4-Dihydroxyphenylethyleneglycol"
34dhpha[c],"(3,4-Dihydroxyphenyl)Acetate"
amet[c],"S-Adenosyl-L-Methionine"
ahcys[c],"S-Adenosyl-L-Homocysteine"
homoval[c],"Homovanillate"
34dhphe[e],"L-Dopa"
34dhphe[c],"L-Dopa"
34dhpac[c],"3,4-Dihydroxyphenylacetaldehyde"
34dhoxmand[c],"3,4-Dihydroxymandelate"
34hpp[m],"3-(4-Hydroxyphenyl)Pyruvate"
34hpl[m],"3-(4-Hydroxyphenyl)Lactate"
co2[c],"Carbon Dioxide"
34hpp[c],"3-(4-Hydroxyphenyl)Pyruvate"
hgentis[c],"Homogentisate"
35cgmp[c],"3,5-Cyclic Guanosine Monophosphate"
35cgmp[n],"3,5-Cyclic Guanosine Monophosphate"
3aib[m],"(S)-3-Aminoisobutyric Acid"
2mop[m],"2-Methyl-3-Oxopropanoate"
glu_L[m],"L-Glutamate"
3aib[c],"(S)-3-Aminoisobutyric Acid"
3dphb[m],"3-Decaprenyl-4-Hydroxybenzoate"
3dpdhb[m],"3-Decaprenyl-4,5-Dihdydroxybenzoate"
3dsphgn[c],"(2S)-1-Hydroxy-3-Oxooctadecan-2-Aminium"
sphgn[c],"Sphinganine"
3hanthrn[c],"3-Hydroxyanthranilate"
cmusa[c],"Cis,Cis-2-Amino-3-(3-Oxoprop-1-Enyl)But-2-Enedioate"
b2coa[m],"Crotonoyl Coenzyme A"
3hbcoa_R[m],"(R)-3-Hydroxybutanoyl Coenzyme A"
3hibutcoa[m],"(S)-3-Hydroxyisobutyryl Coenzyme A"
3hmp[m],"3-Hydroxy-2-Methylpropanoate"
glu_L[c],"L-Glutamate"
hLkynr[c],"3-Hydroxy-L-Kynurenine"
42A3HP24DB[c],"4-(2-Amino-3-Hydroxyphenyl)-2,4-Dioxobutanoate"
dopa[c],"Dopamine"
coa[c],"Coenzyme A"
3hpp[c],"3-Hydroxypropionate"
3mox4hpac[c],"(4-Hydroxy-3-Methoxyphenyl)Acetaldehyde"
3mlda[c],"3-Methylimidazoleacetic Acid"
3mlda[e],"3-Methylimidazoleacetic Acid"
3mob[c],"3-Methyl-2-Oxobutanoate"
3mob[m],"3-Methyl-2-Oxobutanoate"
3mop[c],"3-Methyl-2-Oxopentanoate"
3mop[m],"3-Methyl-2-Oxopentanoate"
3m4hpga[c],"3-Methoxy-4-Hydroxyphenylglycolaldehyde"
3mox4hoxm[c],"3-Methoxy-4-Hydroxymandelate"
3moxtyr[c],"3-Methoxytyramine"
h2o[l],"Water"
pi[l],"Orthophosphate"
adn[l],"Adenosine"
3sala[m],"3-Sulfino-L-Alanine"
3sala[c],"3-Sulfino-L-Alanine"
asp_L[c],"L-Aspartate"
asp_L[m],"L-Aspartate"
hyptaur[c],"Hypotaurine"
3snpyr[c],"3-Sulfinopyruvate"
3snpyr[m],"3-Sulfinopyruvate"
so3[c],"Sulfite"
pyr[m],"Pyruvate"
so3[m],"Sulfite"
adrnl[c],"Adrenaline"
mma[c],"Methylammonium"
nrpphr[c],"Norepinephrine"
4abut[c],"4-Aminobutanoate"
4abut[m],"4-Aminobutanoate"
coucoa[m],"P-Coumaroyl Coenzyme A"
4hbzcoa[m],"4-Hydroxybenzoyl Coenzyme A"
accoa[m],"Acetyl Coenzyme A"
4hbz[m],"4-Hydroxybenzoate"
4hdebrisoquine[e],"4-Hydroxy Debrisoquine"
4hdebrisoquine[c],"4-Hydroxy Debrisoquine"
4hglusa[m],"L-4-Hydroxyglutamic Semialdehyde"
e4hglu[m],"Erythro-4-Hydroxy-L-Glutamate"
4hoxpacd[c],"(4-Hydroxyphenyl)Acetaldehyde"
4hphac[c],"4-Hydroxyphenylacetate"
4mop[c],"4-Methyl-2-Oxopentanoate"
4mop[m],"4-Methyl-2-Oxopentanoate"
4mptnl[c],"4-Methylpentanal"
4mptnl[e],"4-Methylpentanal"
4mptnl[m],"4-Methylpentanal"
4mtolbutamide[e],"4-Hydroxy Tolbutamide"
4mtolbutamide[c],"4-Hydroxy Tolbutamide"
4nphsf[e],"4-Nitrophenyl Sulfate"
4nphsf[c],"4-Nitrophenyl Sulfate"
4nph[c],"4-Nitrophenolate"
4nph[e],"4-Nitrophenolate"
4pyrdx[c],"4-Pyridoxate"
4pyrdx[e],"4-Pyridoxate"
5adtststeroneglc[c],"5Alpha-Dihydrotestosterone Glucuronide"
5adtststeroneglc[e],"5Alpha-Dihydrotestosterone Glucuronide"
5adtststeroneglc[r],"5Alpha-Dihydrotestosterone Glucuronide"
5adtststerones[c],"5Alpha-Dihydrotestosterone Sulfate"
5adtststerones[e],"5Alpha-Dihydrotestosterone Sulfate"
5adtststerone[c],"17Beta-Hydroxy-5Alpha-Androstan-3-One"
5adtststerone[e],"17Beta-Hydroxy-5Alpha-Androstan-3-One"
5adtststerone[r],"17Beta-Hydroxy-5Alpha-Androstan-3-One"
5aop[c],"5-Amino-4-Oxopentanoate"
5aop[m],"5-Amino-4-Oxopentanoate"
5dhf[c],"Pentaglutamyl Folate (Dhf)"
5dhf[l],"Pentaglutamyl Folate (Dhf)"
h2o[e],"Water"
5fthf[e],"5-Formyltetrahydrofolate"
5fthf[c],"5-Formyltetrahydrofolate"
5htrp[c],"5-Hydroxy-L-Tryptophan"
srtn[c],"Serotonin"
5homeprazole[e],"5-Hydroxy Omeprazole"
5homeprazole[c],"5-Hydroxy Omeprazole"
5hoxindact[c],"(5-Hydroxyindol-3-Yl)Acetaldehyde"
5hoxindoa[c],"5-Hydroxyindoleacetate"
5htrp[e],"5-Hydroxy-L-Tryptophan"
5mthf[e],"5-Methyltetrahydrofolate"
5mthf[c],"5-Methyltetrahydrofolate"
5thf[c],"Pentaglutamyl Folate (Thf)"
5thf[l],"Pentaglutamyl Folate (Thf)"
5thf[m],"Pentaglutamyl Folate (Thf)"
6dhf[c],"Hexaglutamyl Folate (Dhf)"
6dhf[l],"Hexaglutamyl Folate (Dhf)"
6dhf[m],"Hexaglutamyl Folate (Dhf)"
6htststerone[c],"6-Beta-Hydroxy Testosterone"
6htststerone[e],"6-Beta-Hydroxy Testosterone"
6htststerone[r],"6-Beta-Hydroxy Testosterone"
6thf[c],"Hexaglutamyl Folate (Thf)"
6thf[l],"Hexaglutamyl Folate (Thf)"
6thf[m],"Hexaglutamyl Folate (Thf)"
7dhchsterol[r],"Cholesta-5,7-Dien-3Beta-Ol"
7dhchsterol[c],"Cholesta-5,7-Dien-3Beta-Ol"
7dhf[c],"Heptaglutamyl Folate (Dhf)"
7dhf[l],"Heptaglutamyl Folate (Dhf)"
7dhf[m],"Heptaglutamyl Folate (Dhf)"
7thf[c],"Heptaglutamyl Folate (Thf)"
7thf[l],"Heptaglutamyl Folate (Thf)"
7thf[m],"Heptaglutamyl Folate (Thf)"
man[c],"D-Mannose"
m2mn[l],"(Alpha-D-Mannosyl)2-Beta-D-Mannosyl-N-Acetylglucosamine"
man[l],"D-Mannose"
mn[l],"Beta-1,4-Mannose-N-Acetylglucosamine"
galgluside_hs[c],"Galactosyl Glucosyl Ceramide"
udpgal[c],"Uridine-5'-Diphosphate-D-Galactose"
thcrm_hs[c],"Trihexosyl Ceramide"
udp[c],"Uridine Diphosphate"
h[g],"Proton"
galgluside_hs[g],"Galactosyl Glucosyl Ceramide"
udpgal[g],"Uridine-5'-Diphosphate-D-Galactose"
thcrm_hs[g],"Trihexosyl Ceramide"
udp[g],"Uridine Diphosphate"
T_antigen[g],"T-Antigen (Core 1)"
uacgam[g],"Uridine-5'-Diphosphate-N-Acetyl-Alpha-D-Glucosamine"
gncore1[g],"GlcNac-Alpha-1,4-Core 1"
core2[g],"Core 2"
gncore2[g],"GlcNac-Alpha-1,4-Core 2"
aact[c],"Ammonioacetone"
mthgxl[c],"Methylglyoxal"
aact[m],"Ammonioacetone"
L2aadp6sa[m],"L-Allysine"
fucgalacglcgalgluside_hs[g],"Type Ih Glycolipid"
udpacgal[g],"Uridine-5'-Diphosphate-N-Acetyl-D-Galactosamine"
acgalfucgalacglcgalgluside_hs[g],"Type Ia Glycolipid"
galfucgalacglcgalgluside_hs[g],"Gal-Alpha1->3(Fuc-Alpha1->2)Gal-Beta1->3GlcNac-Beta1->3LacCer"
fuc12gal14acglcgalgluside_hs[g],"Type Iih Glycolipid"
galfuc12gal14acglcgalgluside_hs[g],"(Gal)3 (Glc)1 (GlcNac)1 (LFuc)1 (Cer)1"
acgalfuc12gal14acglcgalgluside_hs[g],"(Gal)2 (GalNac)1 (Glc)1 (GlcNac)1 (LFuc)1 (Cer)1"
fucgalacgalfuc12gal14acglcgalgluside_hs[g],"Type Iiih Glycolipid"
acgalfucgalacgalfuc12gal14acglcgalgluside_hs[g],"Type Iiia Glycolipid"
fucgalacglcgal14acglcgalgluside_hs[g],"Vi2Fuc-Nlc6"
acgalfucgalacglcgal14acglcgalgluside_hs[g],"(Gal)3 (GalNac)1 (Glc)1 (GlcNac)2 (LFuc)1 (Cer)1"
fucgalacgalfucgalacglcgal14acglcgalgluside_hs[g],"(Gal)4 (GalNac)1 (Glc)1 (GlcNac)2 (LFuc)2 (Cer)1"
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[g],"Type Iiiab"
galfucgalacglcgal14acglcgalgluside_hs[g],"(Gal)4 (Glc)1 (GlcNac)2 (LFuc)1 (Cer)1"
fucfucgalacglcgalacglcgal14acglcgalgluside_hs[g],"(Gal)4 (Glc)1 (GlcNac)3 (LFuc)2 (Cer)1"
galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[g],"(Gal)6 (Glc)1 (GlcNac)3 (LFuc)2 (Cer)1"
sucsal[m],"Succinic Semialdehyde"
abt[c],"L-Arabinitol"
xylu_L[c],"L-Xylulose"
abt[e],"L-Arabinitol"
h[l],"Proton"
4abut[l],"4-Aminobutanoate"
4abut[e],"4-Aminobutanoate"
2maacoa[m],"2-Methylacetoacetyl Coenzyme A"
ppcoa[m],"Propanoyl Coenzyme A"
aacoa[m],"Acetoacetyl Coenzyme A"
coa[x],"Coenzyme A"
accoa[x],"Acetyl Coenzyme A"
aacoa[x],"Acetoacetyl Coenzyme A"
acac[c],"Acetoacetate"
acac[m],"Acetoacetate"
3odcoa[x],"3-Oxodecanoyl Coenzyme A"
occoa[x],"Octanoyl Coenzyme A (N-C8:0 Coenzyme A)"
3oddcoa[x],"3-Oxododecanoyl Coenzyme A"
dcacoa[x],"Decanoyl Coenzyme A (N-C10:0 Coenzyme A)"
3otdcoa[x],"3-Oxotetradecanoyl Coenzyme A"
ddcacoa[x],"Lauroyl Coenzyme A"
3ohdcoa[x],"3-Oxopalmitoyl Coenzyme A"
tdcoa[x],"Myristoyl Coenzyme A"
3ohodcoa[x],"3-Oxooctadecanoyl Coenzyme A"
pmtcoa[x],"Palmitoyl Coenzyme A (N-C16:0 Coenzyme A)"
3ohxccoa[x],"3-Oxohexacosyl Coenzyme A"
ttccoa[x],"Tetracosanoyl Coenzyme A"
acac[x],"Acetoacetate"
acald[m],"Acetaldehyde"
acald[c],"Acetaldehyde"
acald[r],"Acetaldehyde"
acald[x],"Acetaldehyde"
atp[m],"Adenosine Triphosphate"
adp[m],"Adenosine Diphosphate"
pi[m],"Orthophosphate"
hco3[m],"Bicarbonate"
malcoa[m],"Malonyl Coenzyme A"
accoa[c],"Acetyl Coenzyme A"
accoa[g],"Acetyl Coenzyme A"
amp[m],"Adenosine Monophosphate"
ppi[m],"Diphosphate"
ppa[m],"Propionate"
accoa[n],"Acetyl Coenzyme A"
accoa[r],"Acetyl Coenzyme A"
acetone[e],"Acetone"
acetone[c],"Acetone"
acetone[m],"Acetone"
acgagbside_hs[c],"Alpha-GalNac-Globoside"
acgagbside_hs[g],"Alpha-GalNac-Globoside"
acgagbside_hs[l],"Alpha-GalNac-Globoside"
acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e],"Type Iiia Glycolipid"
acgalfucgalacgalfuc12gal14acglcgalgluside_hs[c],"Type Iiia Glycolipid"
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[e],"Type Iiiab"
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[c],"Type Iiiab"
acgal[c],"N-Acetyl-D-Galactosamine"
acgal1p[c],"N-Acetyl-D-Galactosamine 1-Phosphate"
itp[c],"Iinosine-5'-Triphosphate"
idp[c],"Inosine-5'-Diphosphate"
acgal[g],"N-Acetyl-D-Galactosamine"
acgal[l],"N-Acetyl-D-Galactosamine"
gam6p[c],"D-Glucosamine-6-Phosphate"
acgam6p[c],"N-Acetyl-D-Glucosamine 6-Phosphate"
acgam[c],"N-Acetyl-D-Glucosamine"
acgam1p[c],"N-Acetyl-D-Glucosamine 1-Phosphate"
acgam[l],"N-Acetyl-D-Glucosamine"
acgbgbside_hs[c],"Beta-GalNac-Globoside"
acgbgbside_hs[g],"Beta-GalNac-Globoside"
acgbgbside_hs[l],"Beta-GalNac-Globoside"
acgpail_hs[c],"6-(N-Acetyl-Alpha-D-Glucosaminyl)-1-Phosphatidyl-1D-Myo-Inositol"
ac[c],"Acetate"
gpail_hs[c],"D-Glucosaminylphosphatidylinositol"
acglu[m],"N-Acetyl-L-Glutamate"
ac[e],"Acetate"
ach[e],"Acetylcholine"
chol[e],"Choline"
ach[n],"Acetylcholine"
ach[c],"Acetylcholine"
cit[c],"Citrate"
oaa[c],"Oxaloacetate"
acn13acngalgbside_hs[c],"Sialyl-(1,3)-Sialyl-(2,6)-Galactosylgloboside"
acn13acngalgbside_hs[e],"Sialyl-(1,3)-Sialyl-(2,6)-Galactosylgloboside"
acn13acngalgbside_hs[g],"Sialyl-(1,3)-Sialyl-(2,6)-Galactosylgloboside"
acn23acngalgbside_hs[c],"Salyl-(2,3)-Sialyl-(2,6)-Galactosylgloboside"
acn23acngalgbside_hs[e],"Salyl-(2,3)-Sialyl-(2,6)-Galactosylgloboside"
acn23acngalgbside_hs[g],"Salyl-(2,3)-Sialyl-(2,6)-Galactosylgloboside"
acnacngal14acglcgalgluside_hs[e],"3',8'-LD1"
acnacngal14acglcgalgluside_hs[c],"3',8'-LD1"
acnacngal14acglcgalgluside_hs[g],"3',8'-LD1"
acnacngalgbside_hs[c],"Disialyl-Galactosylgloboside"
acnacngalgbside_hs[e],"Disialyl-Galactosylgloboside"
acnacngalgbside_hs[g],"Disialyl-Galactosylgloboside"
acmanap[c],"N-Acetyl-D-Mannosamine 6-Phosphate"
pep[c],"Phosphoenolpyruvate"
acnamp[c],"N-Acetylneuraminate 9-Phosphate"
man6p[c],"D-Mannose 6-Phosphate"
kdnp[c],"2-Keto-3-Deoxy-D-Glycero-D-Galactononic Acid 9-Phosphate"
acnam[c],"N-Acetylneuraminate"
acnam[l],"N-Acetylneuraminate"
acnam[n],"N-Acetylneuraminate"
acngalacglcgal14acglcgalgluside_hs[e],"Vi3Neuac-Nlc6Cer"
acngalacglcgal14acglcgalgluside_hs[c],"Vi3Neuac-Nlc6Cer"
acngalacglcgal14acglcgalgluside_hs[g],"Vi3Neuac-Nlc6Cer"
acmana[c],"N-Acetyl-D-Mannosamine"
2mbcoa[m],"2-Methylbutanoyl Coenzyme A"
fad[m],"Flavin Adenine Dinucleotide Oxidized"
2mb2coa[m],"2-Methylcrotonoyl Coenzyme A"
fadh2[m],"Flavin Adenine Dinucleotide Reduced"
btcoa[m],"Butanoyl Coenzyme A"
ivcoa[m],"Isovaleryl Coenzyme A"
3mb2coa[m],"3-Methylbut-2-Enoyl Coenzyme A"
ibcoa[m],"Isobutyryl Coenzyme A"
2mp2coa[m],"2-Methylprop-2-Enoyl Coenzyme A"
o2[x],"Oxygen"
h2o2[x],"Hydrogen Peroxide"
hdd2coa[x],"Trans-Hexadec-2-Enoyl Coenzyme A"
acorn[c],"N(2)-Acetyl-L-Ornithine"
orn[c],"Ornithine"
cit[m],"Citrate"
icit[m],"Isocitric Acid"
fad[x],"Flavin Adenine Dinucleotide Oxidized"
fadh2[x],"Flavin Adenine Dinucleotide Reduced"
dhcholoylcoa[x],"3Alpha,7Alpha-Dihydroxy-5Beta-Cholest-24-Enoyl Coenzyme A"
thcholoylcoa[x],"3Alpha,7Alpha,24-Trihydroxy-5Beta-Cholestanoyl Coenzyme A"
h2o[x],"Water"
cholcoas[x],"(25S)-3Alpha,7Alpha,12Alpha-Trihydroxy-5Beta-Cholestan-26-Oyl Coenzyme A"
cholcoads[x],"3Alpha,7Alpha,12Alpha-Trihydroxy-5Beta-Cholest-24-Enoyl Coenzyme A"
fmn[c],"Flavin Mononucleotide"
ribflv[c],"Riboflavin"
acrn[c],"O-Acetylcarnitine"
acrn[m],"O-Acetylcarnitine"
amp[c],"Adenosine Monophosphate"
ppi[c],"Diphosphate"
ppcoa[c],"Propanoyl Coenzyme A"
ppa[c],"Propionate"
ac[m],"Acetate"
Nacsertn[c],"N-Acetylserotonin"
melatn[c],"Melatonin"
ac[g],"Acetate"
acetol[c],"Hydroxyacetone"
adn[c],"Adenosine"
ins[c],"Inosine"
nh4[e],"Ammonium"
adn[e],"Adenosine"
ins[e],"Inosine"
ade[e],"Adenine"
ade[c],"Adenine"
gtp[c],"Guanosine-5'-Triphosphate"
gdp[c],"Guanosine-5'-Diphosphate"
gtp[m],"Guanosine-5'-Triphosphate"
gdp[m],"Guanosine-5'-Diphosphate"
damp[c],"Deoxyadenosine Monophosphate"
datp[c],"Deoxyadenosine Triphosphate"
dadp[c],"Deoxyadenosine Diphosphate"
ametam[c],"S-Adenosylmethioninamine"
camp[c],"3,5-Cyclic Adenosine Monophosphate"
adn[m],"Adenosine"
g1p[c],"D-Glucose 1-Phosphate"
adpman[c],"Adenosine-5'-Diphosphate-D-Mannose"
man1p[c],"D-Mannose 1-Phosphate"
adprib[e],"Adenosine-5'-Diphosphate-Ribose"
adprib[c],"Adenosine-5'-Diphosphate-Ribose"
adp[x],"Adenosine Diphosphate"
adrncoa[c],"Adrenoyl Coenzyme A"
adrncoa[x],"Adrenoyl Coenzyme A"
crn[c],"L-Carnitine"
adrncrn[c],"Ocosatetraenoylcarnitine"
adrncoa[m],"Adrenoyl Coenzyme A"
crn[m],"L-Carnitine"
adrncrn[m],"Ocosatetraenoylcarnitine"
adrnl[e],"Adrenaline"
adrn[e],"Adrenic Acid"
adrn[c],"Adrenic Acid"
aps[c],"5-Adenylyl Sulfate"
dcamp[c],"N6-(1,2-Dicarboxyethyl)-Adenosine Monophosphate"
fum[c],"Fumarate"
25aics[c],"(S)-2-[5-Amino-1-(5-Phospho-D-Ribosyl)Imidazole-4-Carboxamido]Succinate"
aicar[c],"5-Amino-1-(5-Phospho-D-Ribosyl)Imidazole-4-Carboxamide"
aflatoxin[e],"Aflatoxin B1"
aflatoxin[c],"Aflatoxin B1"
ksii_core4_pre2[g],"Keratan Sulfate Ii Boisynthesis, Precursor 2"
ksii_core4_pre3[g],"Keratan Sulfate Ii Biosynthesis, Precursor 3"
ksii_core4_pre4[g],"Keratan Sulfate Ii Biosynthesis, Precursor 4"
ksii_core4_pre5[g],"Keratan Sulfate Ii Biosynthesis, Precursor 5"
ksii_core4_pre7[g],"Keratan Sulfate Ii Biosynthesis, Precursor 7"
ksii_core4_pre8[g],"Keratan Sulfate Ii Biosynthesis, Precursor 8"
ksii_core2_pre2[g],"Keratan Sulfate Ii Biosynthesis, Precursor 2"
ksii_core2_pre3[g],"Keratan Sulfate Ii Biosynthesis, Precursor 3"
ksii_core2_pre4[g],"Keratan Sulfate Ii Biosynthesis, Precursor 4"
ksii_core2_pre5[g],"Keratan Sulfate Ii Biosynthesis, Precursor 5"
ksii_core2_pre7[g],"Keratan Sulfate Ii Biosynthesis, Precursor 7"
ksii_core2_pre8[g],"Keratan Sulfate Ii Biosynthesis, Precursor 8"
cdpchol[c],"Cytidine-5'-Diphosphatecholine"
cmp[c],"Cytidine 5'-Monophosphate"
cdpea[c],"Cytidine-5'-Diphosphate-Ethanolamine"
Rtotal2[c],"R Total 2 Position"
agm[m],"Agmatine"
ptrc[m],"Putrescine"
urea[m],"Urea"
Rtotal2coa[c],"R Total 2 Coenzyme A"
alpa_hs[c],"Lysophosphatidic Acid"
pa_hs[c],"Phosphatidate"
ala_L[m],"L-Alanine"
glx[m],"Glyoxylate"
gly[m],"Glycine"
pyr[x],"Pyruvate"
ala_L[x],"L-Alanine"
glx[x],"Glyoxylate"
gly[x],"Glycine"
ahandrostanglc[c],"3Alpha-Hydroxy-5Beta-Androstan-17-One 3-Glucosiduronic Acid"
ahandrostanglc[e],"3Alpha-Hydroxy-5Beta-Androstan-17-One 3-Glucosiduronic Acid"
ahandrostanglc[r],"3Alpha-Hydroxy-5Beta-Androstan-17-One 3-Glucosiduronic Acid"
ahcys[r],"S-Adenosyl-L-Homocysteine"
n2m2nmn[l],"Reducing GlcNac Removed Form Of N2M2Nmasn (W/O Peptide)"
n2m2mn[l],"De-Fuc, Reducing GlcNac Removed, De-Sia, De-Gal Form Of Pa6 (W/O Peptide Linkage)"
air[c],"5-Amino-1-(5-Phospho-D-Ribosyl)Imidazole"
5aizc[c],"5-Amino-1-(5-Phospho-D-Ribosyl)Imidazole-4-Carboxylate"
succoa[m],"Succinyl Coenzyme A"
mal_L[c],"(S)-Malate"
mal_L[m],"(S)-Malate"
akg[e],"2-Oxoglutarate"
akg[x],"2-Oxoglutarate"
prgstrn[c],"Progesterone"
aprgstrn[c],"(20S)-20-Hydroxypregn-4-En-3-One"
xol7ah[c],"7Alpha-Hydroxy-5Beta-Cholestan-3-One"
xol7ah2[c],"5Beta-Cholestane-3Alpha,7Alpha-Diol"
xoldioloneh[c],"7Alpha,12Alpha-Dihydroxy-5Beta-Cholestan-3-One"
xoltriol[c],"5Beta-Cholestane-3Alpha,7Alpha,12Alpha-Triol"
xol7aone[c],"7Alpha-Hydroxycholest-4-En-3-One"
xoldiolone[c],"7Alpha,12Alpha-Dihydroxycholest-4-En-3-One"
ala_L[e],"L-Alanine"
ala_L[c],"L-Alanine"
asn_L[c],"L-Asparagine"
asn_L[e],"L-Asparagine"
cys_L[c],"L-Cysteine"
cys_L[e],"L-Cysteine"
ala_D[e],"D-Alanine"
ala_D[c],"D-Alanine"
gln_L[c],"L-Glutamine"
gln_L[e],"L-Glutamine"
gly[c],"Glycine"
gly[e],"Glycine"
ser_L[c],"L-Serine"
ser_L[e],"L-Serine"
thr_L[c],"L-Threonine"
thr_L[e],"L-Threonine"
12ppd_R[c],"(R)-Propane-1,2-Diol"
lald_D[c],"(R)-Lactaldehyde"
12ppd_S[c],"(S)-Propane-1,2-Diol"
lald_L[c],"(S)-Lactaldehyde"
etoh[c],"Ethanol"
id3acald[c],"Indol-3-Ylacetaldehyde"
ind3ac[c],"Indole-3-Acetate"
id3acald[m],"Indol-3-Ylacetaldehyde"
ind3ac[m],"Indole-3-Acetate"
pristanal[c],"Pristanal"
prist[c],"Pristanic Acid"
aldstrn[c],"Aldosterone"
aldstrn[e],"Aldosterone"
aldstrn[m],"Aldosterone"
dhap[c],"Dihydroxyacetone Phosphate"
arachd[c],"Arachidonate"
12HPET[c],"12-Hydroperoxyeicosa-5,8,10,14-tetraenoate"
15HPET[c],"15S-Hydroperoxyeicosatetraenoate"
5HPET[c],"5(S)-Hydroperoxyeicosatetraenoic Acid"
leuktrA4[c],"Leukotriene A4"
dhcholestancoa[x],"3Alpha,7Alpha-Dihydroxy-5Beta-Cholestanoyl Coenzyme A"
