Rxn,Rxn_Name,Rule,Pathway,Formula
1a_24_25VITD2Hm,"1-Alpha-Vitamin D-24, 25-Hydroxylase (D2)",,"Vitamin D metabolism","Oxygen + 24R,25-Dihyoxyvitamin D2 + Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced  -> Water + 1-Alpha,24R,25-Trihydroxyvitamin D2 + Nicotinamide Adenine Dinucleotide Phosphate "
1a_25VITD2Hm,"1-Alpha, 24R, 25-Vitamin D-Hydroxylase (D2)",,"Vitamin D metabolism","Oxygen + Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + 1-Alpha,25-Dihydroxyvitamin D2  -> Water + 1-Alpha,24R,25-Trihydroxyvitamin D2 + Nicotinamide Adenine Dinucleotide Phosphate "
1MNCAMti,"N1-Methylnicotinamide Transport",,"Transport, extracellular","Water + 1-Methylnicotinamide + Adenosine Triphosphate  -> Proton + 1-Methylnicotinamide + Adenosine Diphosphate + Orthophosphate "
1PPDCRp,"Delta1-Piperideine-2-Carboxylate Reductase, Perixosomal",,"Lysine metabolism","Proton + 1-Piperideine-2-Carboxylate + Nicotinamide Adenine Dinucleotide - Reduced  -> L-Pipecolic Acid + Nicotinamide Adenine Dinucleotide "
24_25DHVITD2t,"24, 25-Dihydroxyvitamin D2 Transport from Cytoplasm",,"Transport, extracellular","24R,25-Dihyoxyvitamin D2  -> 24R,25-Dihyoxyvitamin D2 "
24_25DHVITD2tm,"24, 25-Dihydroxyvitamin D2 Transport from Mitochondria",,"Transport, mitochondrial","24R,25-Dihyoxyvitamin D2  -> 24R,25-Dihyoxyvitamin D2 "
24_25DHVITD3t,"24, 25-Dihydroxyvitamin D3 Transport from Cytoplasm",,"Transport, extracellular","(24R)-24,25-Dihydroxycalciol  -> (24R)-24,25-Dihydroxycalciol "
24_25DHVITD3tm,"24, 25-Dihydroxyvitamin D3 Transport from Mitochondria",,"Transport, mitochondrial","(24R)-24,25-Dihydroxycalciol  -> (24R)-24,25-Dihydroxycalciol "
24_25VITD2Hm,"24R-Vitamin D-25-Hydroxylase (D2)",CYP24A1,"Vitamin D metabolism","Oxygen + Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + 25-Hydroxyvitamin D2  -> Water + 24R,25-Dihyoxyvitamin D2 + Nicotinamide Adenine Dinucleotide Phosphate "
24_25VITD3Hm,"24R-Vitamin D-25-Hydroxylase (D3)",CYP24A1,"Vitamin D metabolism","Oxygen + Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + Calcidiol  -> Water + Nicotinamide Adenine Dinucleotide Phosphate + (24R)-24,25-Dihydroxycalciol "
24NPHte,"Transport of Xenobiotic",,"Transport, extracellular","2-Hydroxy-4-Nitrophenolate  <=> 2-Hydroxy-4-Nitrophenolate "
25HVITD2t,"25-Hydroxyvitamin D2 Transport from Cytoplasm",,"Transport, extracellular","25-Hydroxyvitamin D2  -> 25-Hydroxyvitamin D2 "
25HVITD2tin_m,"25-Hydroxyvitamin D2 Transport in Mitochondria",,"Transport, mitochondrial","25-Hydroxyvitamin D2  -> 25-Hydroxyvitamin D2 "
25HVITD3t,"25-Hydroxyvitamin D3 Transport from Cytoplasm",,"Transport, extracellular","Calcidiol  -> Calcidiol "
25HVITD3tin_m,"25-Hydroxyvitamin D3 Transport in Mitochondria",,"Transport, mitochondrial","Calcidiol  -> Calcidiol "
25VITD2Hm,"1-Alpha-Vitamin D-25-Hydroxylase (D2)",CYP27B1,"Vitamin D metabolism","Oxygen + Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + 25-Hydroxyvitamin D2  -> Water + Nicotinamide Adenine Dinucleotide Phosphate + 1-Alpha,25-Dihydroxyvitamin D2 "
25VITD3Hm,"1-Alpha-Vitamin D-25-Hydroxylase (D3)",CYP27B1,"Vitamin D metabolism","Oxygen + Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + Calcidiol  -> Water + Nicotinamide Adenine Dinucleotide Phosphate + Calcitriol "
2AMACHYD,"2-Aminoacrylate Hydrolysis",SDS,"Glycine, serine, alanine, and threonine metabolism","Water + 2-Aminoacrylic Acid  -> Ammonium + Pyruvate "
2AMACSULT,"2-Aminoacrylate Sulfotransferase",SULT1A3 ,"Methionine and cysteine metabolism","2-Aminoacrylic Acid + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + 3'-Phosphoadenylyl Sulfate  -> Nicotinamide Adenine Dinucleotide Phosphate + L-Cysteic Acid + Adenosine 3,5-Bismonophosphate "
2AMADPTm,"L-2-Aminoadipate Shuttle (Cytosol/Mitochondria)",SLC25A21,"Lysine metabolism","L-2-Aminoadipate + 2-Oxoglutarate  -> L-2-Aminoadipate + 2-Oxoglutarate "
2DR1PP,"2-Deoxy-D-Ribose 1-Phosphate Phosphorylase",,"Pyrimidine catabolism","Water + 2-Deoxy-D-Ribose 1-Phosphate  -> Orthophosphate + 2-Deoxy-D-Ribose "
2HBO,"2-Hydroxybutyrate:NAD+ Oxidoreductase",LDHAL6B | LDHC | UEVLD | (LDHB & LDHA) | LDHA | LDHAL6A | LDHB | LDHC,"Propanoate metabolism","Nicotinamide Adenine Dinucleotide + 2-Hydroxybutyrate  <=> Proton + Nicotinamide Adenine Dinucleotide - Reduced + 2-Oxobutanoate "
2HBt2,"2-Hydroxybutyrate Symport with Proton",SLC16A3 | SLC16A7 | SLC16A1,"Transport, extracellular","Proton + 2-Hydroxybutyrate  <=> Proton + 2-Hydroxybutyrate "
2HCO3_NAt,"Bicarbonate Transport (Na/Hco3 1:2 Symport)",SLC4A5 | SLC4A4 | SLC4A5 | SLC4A5 | SLC4A5,"Transport, extracellular","2 Bicarbonate + Sodium  <=> 2 Bicarbonate + Sodium "
2MCITt,"2-Methylcitrate Transport via Diffusion",,"Transport, extracellular","2-Methylcitrate  <=> 2-Methylcitrate "
2OXOADOXm,"2-Oxoadipate:Lipoamde 2-Oxidoreductase (Decarboxylating And Acceptor-Succinylating), Mitochondrial",(OGDH & DLD & PDHX & DLST) | (OGDH & DLD & PDHX & DLST),"Lysine metabolism","Nicotinamide Adenine Dinucleotide + 2-Oxoadipate + Coenzyme A  -> Nicotinamide Adenine Dinucleotide - Reduced + Carbon Dioxide + Glutaryl Coenzyme A "
2OXOADPTm,"2-Oxoadipate Shuttle (Cytosol/Mitochondria)",SLC25A21,"Tryptophan metabolism","2-Oxoglutarate + 2-Oxoadipate  <=> 2-Oxoglutarate + 2-Oxoadipate "
34DHOXPEGOX,"3, 4-Dihydroxyphenylethyleneglycol:NAD+ Oxidoreductase",ADH6 | ADH4 | (ADH1B & ADH1A) | ADH7 | (ADH1C & ADH1A) | ADH5 | ADHFE1 | (ADH1B & ADH1C),"Tyrosine metabolism","Proton + Nicotinamide Adenine Dinucleotide - Reduced + 3,4-Dihydroxymandelaldehyde  <=> Nicotinamide Adenine Dinucleotide + 3,4-Dihydroxyphenylethyleneglycol "
34DHOXPEGt,"3, 4-Dihydroxyphenylethyleneglycol Transport (Diffusion)",,"Transport, extracellular","3,4-Dihydroxyphenylethyleneglycol  <=> 3,4-Dihydroxyphenylethyleneglycol "
34DHPHAMT,"3, 4-Dihydroxyphenylacetate:Amet O-Methyltransferase",COMT | COMT,"Tyrosine metabolism","(3,4-Dihydroxyphenyl)Acetate + S-Adenosyl-L-Methionine  -> Proton + S-Adenosyl-L-Homocysteine + Homovanillate "
34DHPHEt,"3, 4-Dihydroxy-L-Phenylalanine Transport",SLC16A10,"Transport, extracellular","L-Dopa  <=> L-Dopa "
34DHPLACOX,"3, 4-Dihydroxyphenylacetaldehyde:NAD+ Oxidoreductase",ALDH3A1 | ALDH3B2 | ALDH1A3 | ALDH3B1,"Tyrosine metabolism","Water + Nicotinamide Adenine Dinucleotide + 3,4-Dihydroxyphenylacetaldehyde  -> 2 Proton + Nicotinamide Adenine Dinucleotide - Reduced + (3,4-Dihydroxyphenyl)Acetate "
34DHPLACOX_NADP_,"3, 4-Dihydroxyphenylacetaldehyde:NADP+ Oxidoreductase",ALDH3B2 | ALDH3B1 | ALDH3A1,"Tyrosine metabolism","Water + Nicotinamide Adenine Dinucleotide Phosphate + 3,4-Dihydroxyphenylacetaldehyde  <=> 2 Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + (3,4-Dihydroxyphenyl)Acetate "
34DHXMANDACOX,"3, 4-Dihydroxymandelaldehyde:NAD+ Oxidoreductase",ALDH3B1 | ALDH3A1 | ALDH1A3,"Tyrosine metabolism","Water + Nicotinamide Adenine Dinucleotide + 3,4-Dihydroxymandelaldehyde  -> 2 Proton + Nicotinamide Adenine Dinucleotide - Reduced + 3,4-Dihydroxymandelate "
34DHXMANDACOX_NADP_,"3, 4-Dihydroxymandelaldehyde:NADP+ Oxidoreductase",ALDH3B1 | ALDH3B2,"Tyrosine metabolism","Water + Nicotinamide Adenine Dinucleotide Phosphate + 3,4-Dihydroxymandelaldehyde  <=> 2 Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + 3,4-Dihydroxymandelate "
34HPLFM,"3- (4-Hydroxyphenyl-)Lactate Formation",,"Ubiquinone synthesis","Proton + Nicotinamide Adenine Dinucleotide - Reduced + 3-(4-Hydroxyphenyl)Pyruvate  -> Nicotinamide Adenine Dinucleotide + 3-(4-Hydroxyphenyl)Lactate "
34HPPOR,"4-Hydroxyphenylpyruvate:Oxygen Oxidoreductase",HPD,"Tyrosine metabolism","Oxygen + 3-(4-Hydroxyphenyl)Pyruvate  -> Carbon Dioxide + Homogentisate "
35CGMPtn,"35CGMP Nuclear Transport",,"Transport, nuclear","3,5-Cyclic Guanosine Monophosphate  <=> 3,5-Cyclic Guanosine Monophosphate "
3AIBTm,"L-3-Aminoisobutyrate Transaminase, Mitochondrial",ABAT | ABAT,"Valine, leucine, and isoleucine metabolism","2-Methyl-3-Oxopropanoate + L-Glutamate  <=> 2-Oxoglutarate + (S)-3-Aminoisobutyric Acid "
3AIBtmi,"3-Amino-Isobutyrate Transport, Mitochondrial",ABAT | ABAT,"Transport, mitochondrial","(S)-3-Aminoisobutyric Acid  -> (S)-3-Aminoisobutyric Acid "
3DPHBH1,"Hydroxylation of 3-Decaprenyl-4-Hydroxybenzoate (NADH)",,"Ubiquinone synthesis","Oxygen + Proton + Nicotinamide Adenine Dinucleotide - Reduced + 3-Decaprenyl-4-Hydroxybenzoate  -> Water + Nicotinamide Adenine Dinucleotide + 3-Decaprenyl-4,5-Dihdydroxybenzoate "
3DPHBH2,"Hydroxylation of 3-Decaprenyl-4-Hydroxybenzoate (NADPH)",,"Ubiquinone synthesis","Oxygen + Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + 3-Decaprenyl-4-Hydroxybenzoate  -> Water + Nicotinamide Adenine Dinucleotide Phosphate + 3-Decaprenyl-4,5-Dihdydroxybenzoate "
3DSPHR,"3-Dehydrosphinganine Reductase",KDSR,"Sphingolipid metabolism","Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + (2S)-1-Hydroxy-3-Oxooctadecan-2-Aminium  -> Nicotinamide Adenine Dinucleotide Phosphate + Sphinganine "
3HAO,"3-Hydroxyanthranilate 3, 4-Dioxygenase",HAAO,"Tryptophan metabolism","Oxygen + 3-Hydroxyanthranilate  -> Proton + Cis,Cis-2-Amino-3-(3-Oxoprop-1-Enyl)But-2-Enedioate "
3HBCDm,"3-Hydroxybutyryl Coenzyme A Dehydratase, Mitochondrial",ECHDC2,"Butanoate metabolism","Water + Crotonoyl Coenzyme A  <=> (R)-3-Hydroxybutanoyl Coenzyme A "
3HBCOAHLm,"3-Hydroxyisobutyryl Coenzyme A Hydrolase, Mitochondrial",,"Valine, leucine, and isoleucine metabolism","Water + (S)-3-Hydroxyisobutyryl Coenzyme A  -> Proton + Coenzyme A + 3-Hydroxy-2-Methylpropanoate "
3HKYNAKGAT,"3-Hydroxy-L-Kynurenine:2-Oxoglutarate Aminotransferase",AADAT | KYAT1 | AADAT,"Tryptophan metabolism","2-Oxoglutarate + 3-Hydroxy-L-Kynurenine  -> L-Glutamate + 4-(2-Amino-3-Hydroxyphenyl)-2,4-Dioxobutanoate "
3HLYTCL,"3-Hydroxy-L-Tyrosine Carboxy-Lyase",DDC,"Tyrosine metabolism","Proton + L-Dopa  -> Carbon Dioxide + Dopamine "
3M4HDXPAC,"3-Methoxy-4-Hydroxyphenylacetaldehyde:NAD+ Oxidoreductase",ALDH3A1 | ALDH3B1 | ALDH3B2 | ALDH1A3,"Tyrosine metabolism","Water + Nicotinamide Adenine Dinucleotide + (4-Hydroxy-3-Methoxyphenyl)Acetaldehyde  <=> 2 Proton + Nicotinamide Adenine Dinucleotide - Reduced + Homovanillate "
3MLDAt,"3Mlda Extracellular Transport via Diffusion",,"Transport, extracellular","3-Methylimidazoleacetic Acid  <=> 3-Methylimidazoleacetic Acid "
3MOBt2im,"3-Methyl-2-Oxobutanoate Mitochondrial Transport via Proton Symport",,"Transport, mitochondrial","Proton + 3-Methyl-2-Oxobutanoate  -> Proton + 3-Methyl-2-Oxobutanoate "
3MOPt2im,"3-Methyl-2-Oxopentanoate Mitochondrial Transport via Proton Symport",,"Transport, mitochondrial","Proton + 3-Methyl-2-Oxopentanoate  -> Proton + 3-Methyl-2-Oxopentanoate "
3MOX4HOXPGALDOX,"3-Methoxy-4-Hydroxyphenylglycolaldehyde:NAD+ Oxidoreductase",ALDH3B2 | ALDH1A3 | ALDH3B1 | ALDH3A1,"Tyrosine metabolism","Water + Nicotinamide Adenine Dinucleotide + 3-Methoxy-4-Hydroxyphenylglycolaldehyde  -> 2 Proton + Nicotinamide Adenine Dinucleotide - Reduced + 3-Methoxy-4-Hydroxymandelate "
3MOX4HOXPGALDOX_NADP_,"3-Methoxy-4-Hydroxyphenylglycolaldehyde:NADP+ Oxidoreductase",ALDH3B2 | ALDH1A3 | ALDH3B1 | ALDH3A1,"Tyrosine metabolism","Water + Nicotinamide Adenine Dinucleotide Phosphate + 3-Methoxy-4-Hydroxyphenylglycolaldehyde  <=> 2 Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + 3-Methoxy-4-Hydroxymandelate "
3MOXTYROX,"3-Methoxytyramine:Oxygen Oxidoreductase (Deaminating)",MAOA | MAOB,"Tyrosine metabolism","Water + Oxygen + 3-Methoxytyramine  -> Hydrogen Peroxide + Ammonium + (4-Hydroxy-3-Methoxyphenyl)Acetaldehyde "
3SALAASPm,"Cysteinesulfinate-Aspartate Mitochondrial Shuttle",SLC25A13 | SLC25A12,"Transport, mitochondrial","3-Sulfino-L-Alanine + L-Aspartate  <=> 3-Sulfino-L-Alanine + L-Aspartate "
3SALACBOXL,"3-Sulfino-L-Alanine Carboxy-Lyase",CSAD | GAD1 | GAD2 | GAD1,"Taurine and hypotaurine metabolism","2 Proton + 3-Sulfino-L-Alanine  -> Carbon Dioxide + Hypotaurine "
3SALAOX,"Cysteinesulfinic Acid Oxidase",,"Taurine and hypotaurine metabolism","Oxygen + 2 Proton + 2 3-Sulfino-L-Alanine  -> 2 L-Cysteic Acid "
3SALATAi,"3-Sulfino-Alanine Transaminase (Irreversible)",GOT1,"Methionine and cysteine metabolism","Proton + 2-Oxoglutarate + 3-Sulfino-L-Alanine  -> L-Glutamate + 3-Sulfinopyruvate "
3SALATAim,"3-Sulfino-Alanine Transaminase (Irreversible), Mitochondrial",GOT2,"Methionine and cysteine metabolism","Proton + 2-Oxoglutarate + 3-Sulfino-L-Alanine  -> L-Glutamate + 3-Sulfinopyruvate "
3SPYRSP,"3-Sulfinopyruvate Hydrolase (Spotaneous Reaction)",,"Methionine and cysteine metabolism","Water + 3-Sulfinopyruvate  -> Proton + Pyruvate + Sulfite "
3SPYRSPm,"3-Sulfinopyruvate Hydrolase (Spotaneous Reaction), Mitochondrial",,"Methionine and cysteine metabolism","Water + 3-Sulfinopyruvate  -> Proton + Pyruvate + Sulfite "
41R1H2MAE12BOOX,"4-[ (1R)-1-Hydroxy-2- (Methylamino)Ethyl]-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",MAOA | MAOB,"Tyrosine metabolism","Water + Oxygen + Adrenaline  -> Hydrogen Peroxide + 3,4-Dihydroxymandelaldehyde + Methylammonium "
41R2A1H12BOOX,"4-[ (1R)-2-Amino-1-Hydroxyethyl]-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",MAOA | MAOB,"Tyrosine metabolism","Water + Oxygen + Norepinephrine  -> Hydrogen Peroxide + Ammonium + 3,4-Dihydroxymandelaldehyde "
42A12BOOX,"4- (2-Aminoethyl)-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",MAOB | AOC3 | AOC1 | AOC2 | AOC2 | MAOA,"Tyrosine metabolism","Water + Oxygen + Dopamine  -> Hydrogen Peroxide + Ammonium + 3,4-Dihydroxyphenylacetaldehyde "
4ABUTtm,"4-Aminobutanoate Mitochondrial Transport via Diffusion",,"Transport, mitochondrial","4-Aminobutanoate  <=> 4-Aminobutanoate "
4HBZCOAFm,"4-Hydroxybenzoyl Coenzyme A Formation",,"Ubiquinone synthesis","Water + Nicotinamide Adenine Dinucleotide + Coenzyme A + P-Coumaroyl Coenzyme A  -> Proton + Nicotinamide Adenine Dinucleotide - Reduced + 4-Hydroxybenzoyl Coenzyme A + Acetyl Coenzyme A "
4HBZFm,"4-Hydroxybenzoate Formation",,"Ubiquinone synthesis","Water + 4-Hydroxybenzoyl Coenzyme A  -> Proton + Coenzyme A + 4-Hydroxybenzoate "
4HDEBRISOQUINEte,"Transport of Xenobiotic",,"Transport, extracellular","4-Hydroxy Debrisoquine  <=> 4-Hydroxy Debrisoquine "
4HGLSDm,"L-4-Hydroxyglutamate Semialdehyde Dehydrogenase, Mitochondrial",ALDH4A1 | ALDH4A1,"Arginine and proline metabolism","Water + Nicotinamide Adenine Dinucleotide + L-4-Hydroxyglutamic Semialdehyde  -> 2 Proton + Nicotinamide Adenine Dinucleotide - Reduced + Erythro-4-Hydroxy-L-Glutamate "
4HOXPACDOX_NADP_,"4-Hydroxyphenylacetaldehyde:NADP+ Oxidoreductase",ALDH3B2 | ALDH1A3 | ALDH3B1 | ALDH3A1,"Tyrosine metabolism","Water + Nicotinamide Adenine Dinucleotide Phosphate + (4-Hydroxyphenyl)Acetaldehyde  <=> 2 Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + 4-Hydroxyphenylacetate "
4MOPt2im,"4-Methyl-2-Oxopentanoate Mitochondrial Transport via Proton Symport",,"Transport, mitochondrial","Proton + 4-Methyl-2-Oxopentanoate  -> Proton + 4-Methyl-2-Oxopentanoate "
4MPTNLte,"4-Methylpentanal Transport",,"Transport, extracellular","4-Methylpentanal  <=> 4-Methylpentanal "
4MPTNLtm,"4-Methylpentanal Transport, Mitochondrial",,"Transport, mitochondrial","4-Methylpentanal  <=> 4-Methylpentanal "
4MTOLBUTAMIDEte,"Transport of Xenobiotic",,"Transport, extracellular","4-Hydroxy Tolbutamide  <=> 4-Hydroxy Tolbutamide "
4NPHSFte,"Transport of Xenobiotic",,"Transport, extracellular","4-Nitrophenyl Sulfate  <=> 4-Nitrophenyl Sulfate "
4NPHSULT,"4-Nitrophenol Sulfotransferase",SULT1A2 | SULT1A1 | SULT1A2 | SULT1A3 | SULT1A1 | SULT1A1 | SULT1A1 | SULT1A1 | SULT1A3 | SULT1A1,"Cytochrome metabolism","3'-Phosphoadenylyl Sulfate + 4-Nitrophenolate  -> Proton + Adenosine 3,5-Bismonophosphate + 4-Nitrophenyl Sulfate "
4NPHte,"Transport of Xenobiotic",,"Transport, extracellular","4-Nitrophenolate  <=> 4-Nitrophenolate "
4PYRDX,"4-Pyridoxal Secretion",,"Transport, extracellular","Water + Adenosine Triphosphate + 4-Pyridoxate  -> Proton + Adenosine Diphosphate + Orthophosphate + 4-Pyridoxate "
5ADTSTSTERONEGLCte,"Glucuronidated Compound Transport",ABCC1,"Transport, extracellular","Water + Adenosine Triphosphate + 5Alpha-Dihydrotestosterone Glucuronide  -> Proton + Adenosine Diphosphate + Orthophosphate + 5Alpha-Dihydrotestosterone Glucuronide "
5ADTSTSTERONEGLCtr,"Glucuronidated Compound Transport",,"Transport, endoplasmic reticular","5Alpha-Dihydrotestosterone Glucuronide  <=> 5Alpha-Dihydrotestosterone Glucuronide "
5ADTSTSTERONESte,"Sulfonated Testosterone Transport",,"Transport, extracellular","5Alpha-Dihydrotestosterone Sulfate  <=> 5Alpha-Dihydrotestosterone Sulfate "
5ADTSTSTERONESULT,"5Alpha-Dihydrotestosterone Sulfotransferase",SULT2A1 | SULT1A3,"Steroid metabolism","3'-Phosphoadenylyl Sulfate + 17Beta-Hydroxy-5Alpha-Androstan-3-One  -> Proton + Adenosine 3,5-Bismonophosphate + 5Alpha-Dihydrotestosterone Sulfate "
5ADTSTSTERONEte,"5 Alpha Dihydrotesterone Transport",,"Transport, extracellular","17Beta-Hydroxy-5Alpha-Androstan-3-One  <=> 17Beta-Hydroxy-5Alpha-Androstan-3-One "
5ADTSTSTERONEtr,"5 Alpha Dihydrotesterone Intracellular Transport",,"Transport, endoplasmic reticular","17Beta-Hydroxy-5Alpha-Androstan-3-One  <=> 17Beta-Hydroxy-5Alpha-Androstan-3-One "
5AOPtm,"5-Aminolevulinate Mitochondrial Transport",,"Heme synthesis","5-Amino-4-Oxopentanoate  <=> 5-Amino-4-Oxopentanoate "
5DHFtl,"5-Glutamyl-Dhf Transport, Lysosomal",,"Transport, lysosomal","Pentaglutamyl Folate (Dhf)  -> Pentaglutamyl Folate (Dhf) "
5FTHFt2,"5-Formyltetrahydrofolate Transport via Anion Exchange",SLC19A1 | SLC19A1,"Transport, extracellular","Water + 5-Formyltetrahydrofolate  <=> Water + 5-Formyltetrahydrofolate "
5HLTDL,"5-Hydroxy-L-Tryptophan Decarboxy-Lyase",DDC,"Tryptophan metabolism","Proton + 5-Hydroxy-L-Tryptophan  -> Carbon Dioxide + Serotonin "
5HOMEPRAZOLEte,"Transport of Xenobiotic",,"Transport, extracellular","5-Hydroxy Omeprazole  <=> 5-Hydroxy Omeprazole "
5HOXINDACTO2OX,"5-Hydroxyindoleacetaldehyde:Oxygen Oxidoreductase",AOX1,"Tryptophan metabolism","Water + Oxygen + (5-Hydroxyindol-3-Yl)Acetaldehyde  -> Hydrogen Peroxide + Proton + 5-Hydroxyindoleacetate "
5HOXINOXDA,"5-Hydroxytryptamine:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",MAOA | MAOB,"Tryptophan metabolism","Water + Oxygen + Serotonin  -> Hydrogen Peroxide + Ammonium + (5-Hydroxyindol-3-Yl)Acetaldehyde "
5HTRPVESSEC,"5-Hydroxy-L-Tryptophan Secretion via Secretory Vesicle (ATP Driven)",SLC18A1 | SLC18A2,"Transport, extracellular","Water + Adenosine Triphosphate + 5-Hydroxy-L-Tryptophan  -> Proton + Adenosine Diphosphate + Orthophosphate + 5-Hydroxy-L-Tryptophan "
5MTHFt,"5-Methyltetrahydrofolate Transport via Receptor Binding And Protolysis",FOLR1 | FOLR1 | FOLR1 | FOLR1 | FOLR3 | FOLR1 | FOLR1,"Transport, extracellular","5-Methyltetrahydrofolate  <=> 5-Methyltetrahydrofolate "
5MTHFt2,"5-Methyltetrahydrofolate Transport via Anion Exchange",SLC19A1 | SLC19A1,"Transport, extracellular","Water + 5-Methyltetrahydrofolate  <=> Water + 5-Methyltetrahydrofolate "
5THFtl,"5-Glutamyl-Thf Transport, Lysosomal",,"Transport, lysosomal","Pentaglutamyl Folate (Thf)  -> Pentaglutamyl Folate (Thf) "
5THFtm,"5-Glutamyl-Thf Transport, M Mitochondrial",,"Transport, mitochondrial","Pentaglutamyl Folate (Thf)  -> Pentaglutamyl Folate (Thf) "
6DHFtl,"6-Glutamyl-Dhf Transport, Lysosomal",,"Transport, lysosomal","Hexaglutamyl Folate (Dhf)  -> Hexaglutamyl Folate (Dhf) "
6DHFtm,"6-Glutamyl-Dhf Transport, M Mitochondrial",,"Transport, mitochondrial","Hexaglutamyl Folate (Dhf)  -> Hexaglutamyl Folate (Dhf) "
6HTSTSTERONEte,"Hydroxylated Testosterone Transport",,"Transport, extracellular","6-Beta-Hydroxy Testosterone  <=> 6-Beta-Hydroxy Testosterone "
6HTSTSTERONEtr,"Hydroxylated Testosterone Transport",,"Transport, endoplasmic reticular","6-Beta-Hydroxy Testosterone  <=> 6-Beta-Hydroxy Testosterone "
6THFtl,"6-Glutamyl-Thf Transport, Lysosomal",,"Transport, lysosomal","Hexaglutamyl Folate (Thf)  -> Hexaglutamyl Folate (Thf) "
6THFtm,"6-Glutamyl-Thf Transport, M Mitochondrial",,"Transport, mitochondrial","Hexaglutamyl Folate (Thf)  -> Hexaglutamyl Folate (Thf) "
7DHCHSTEROLtr,"Cholesterol Precursor Intracellular Transport",,"Transport, endoplasmic reticular","Cholesta-5,7-Dien-3Beta-Ol  <=> Cholesta-5,7-Dien-3Beta-Ol "
7DHFtl,"7-Glutamyl-Dhf Transport, Lysosomal",,"Transport, lysosomal","Heptaglutamyl Folate (Dhf)  -> Heptaglutamyl Folate (Dhf) "
