Rxn,min_AST,max_AST,min_GBM,max_GBM,min_ODG,max_ODG,Formula
2M3HVACc,266.485962242794,554.431078723601,499.998878013488,500.000088299296,0,3.06606081892369e-05,"Proton + Nicotinamide Adenine Dinucleotide - Reduced + 2-Methyl-3-Oxo-Valerate  <=> Nicotinamide Adenine Dinucleotide + 2-Methyl-3-Hydroxy-Valerate "
2M3HVACte,266.485962242794,554.4310787236,499.998878013481,500.000088299297,0,3.06606086155625e-05,"2-Methyl-3-Hydroxy-Valerate  -> 2-Methyl-3-Hydroxy-Valerate "
2M3OVACm,266.485962242794,554.431078723601,499.998878013488,500.000088299296,0,3.06606081892369e-05,"Water + 2-Methyl-3-Oxo-Valeryl Coenzyme A  -> Proton + Coenzyme A + 2-Methyl-3-Oxo-Valerate "
2M3OVACtm,266.485962242794,554.431078723601,499.998878013488,500.000088299296,0,3.06606081892369e-05,"2-Methyl-3-Oxo-Valerate  -> 2-Methyl-3-Oxo-Valerate "
2M3OVCOAm,266.485962242794,554.431078723601,499.998878013488,500.000088299296,0,3.06606081892369e-05,"2 Propanoyl Coenzyme A  <=> Coenzyme A + 2-Methyl-3-Oxo-Valeryl Coenzyme A "
2MB2COAc,0,234.499405474622,0,0.000176598592815935,0,2.65852067400374e-05,"2-Methylcrotonoyl Coenzyme A  <=> 2-Methylcrotonoyl Coenzyme A "
2MOPtm,442.5634051344,671.666674019438,451.206527186135,451.21035945333,0,9.85323228235302e-05,"2-Methyl-3-Oxopropanoate  -> 2-Methyl-3-Oxopropanoate "
2OXOADOXm,0,99.8185566424404,NaN,NaN,0,1.59346731720689e-05,"Nicotinamide Adenine Dinucleotide + 2-Oxoadipate + Coenzyme A  -> Nicotinamide Adenine Dinucleotide - Reduced + Carbon Dioxide + Glutaryl Coenzyme A "
34DHOXMANDte,NaN,NaN,0,8.2610128283811e-05,NaN,NaN,"3,4-Dihydroxymandelate  <=> 3,4-Dihydroxymandelate "
34DHOXPEGOX,-423.596011781829,110.413535746728,0,8.26101276061308e-05,-0.00111074294454738,1.00596257652796e-05,"Proton + Nicotinamide Adenine Dinucleotide - Reduced + 3,4-Dihydroxymandelaldehyde  <=> Nicotinamide Adenine Dinucleotide + 3,4-Dihydroxyphenylethyleneglycol "
34DHOXPEGt,-423.596011781829,110.413535746728,0,8.26101276061308e-05,-0.00111074294454738,1.00596257652796e-05,"3,4-Dihydroxyphenylethyleneglycol  <=> 3,4-Dihydroxyphenylethyleneglycol "
34DHPEAR,0,110.413535746727,0,5.4065707161044e-05,999.998889257023,1000,"Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + 3,4-Dihydroxyphenylacetaldehyde  -> Nicotinamide Adenine Dinucleotide Phosphate + 3,4-Dihydroxyphenylethanol "
34DHPEt,-110.413535746727,0,-5.4065707161044e-05,0,-1000,-999.998889257023,"3,4-Dihydroxyphenylethanol  <=> 3,4-Dihydroxyphenylethanol "
34DHPHAMT,0,1000,0,1000,0,0.00111074298251879,"(3,4-Dihydroxyphenyl)Acetate + S-Adenosyl-L-Methionine  -> Proton + S-Adenosyl-L-Homocysteine + Homovanillate "
34DHPHAte,-1000,0,-1000,0,-1000,-999.998889257037,"(3,4-Dihydroxyphenyl)Acetate  <=> (3,4-Dihydroxyphenyl)Acetate "
34DHPLACOX_NADP_,NaN,NaN,NaN,NaN,-1000,-999.998889257023,"Water + Nicotinamide Adenine Dinucleotide Phosphate + 3,4-Dihydroxyphenylacetaldehyde  <=> 2 Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + (3,4-Dihydroxyphenyl)Acetate "
34DHXMANDACOX,NaN,NaN,NaN,NaN,0,0.00111074292726698,"Water + Nicotinamide Adenine Dinucleotide + 3,4-Dihydroxymandelaldehyde  -> 2 Proton + Nicotinamide Adenine Dinucleotide - Reduced + 3,4-Dihydroxymandelate "
34DHXMANDACOX_NADP_,0,423.596011781829,NaN,NaN,NaN,NaN,"Water + Nicotinamide Adenine Dinucleotide Phosphate + 3,4-Dihydroxymandelaldehyde  <=> 2 Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + 3,4-Dihydroxymandelate "
34HPLFM,0,3.22993645778087e-07,0,9.31253141213801e-07,0,9.16710980902735e-07,"Proton + Nicotinamide Adenine Dinucleotide - Reduced + 3-(4-Hydroxyphenyl)Pyruvate  -> Nicotinamide Adenine Dinucleotide + 3-(4-Hydroxyphenyl)Lactate "
34HPLtm,0,3.22993644411659e-07,0,6.73879421468786e-07,0,9.10690992151751e-07,"Proton + 3-(4-Hydroxyphenyl)Lactate  <=> Proton + 3-(4-Hydroxyphenyl)Lactate "
35CGMPtn,0,1.11971130580812e-05,NaN,NaN,NaN,NaN,"3,5-Cyclic Guanosine Monophosphate  <=> 3,5-Cyclic Guanosine Monophosphate "
35DHPVStep,-1000,1000,-1000,1000,-1000,1000,"3'-alpha,5'beta-dihydroxy-pravastatin / 3'-alpha5'beta6'beta-trihydroxy pravastatin  <=> 3'-alpha,5'beta-dihydroxy-pravastatin / 3'-alpha5'beta6'beta-trihydroxy pravastatin "
35DHPVSthc,-1000,1000,-1000,1000,-1000,1000,"Bicarbonate + 3'-alpha,5'beta-dihydroxy-pravastatin / 3'-alpha5'beta6'beta-trihydroxy pravastatin  <=> Bicarbonate + 3'-alpha,5'beta-dihydroxy-pravastatin / 3'-alpha5'beta6'beta-trihydroxy pravastatin "
3AIBSYMPt,-239.862773038207,0,NaN,NaN,-0.000346860570289209,0,"2 Sodium + (S)-3-Aminoisobutyric Acid  <=> 2 Sodium + (S)-3-Aminoisobutyric Acid "
3AIBTm,0,239.862773038207,0,0.00026838820156172,0,0.000346860570289209,"2-Methyl-3-Oxopropanoate + L-Glutamate  <=> 2-Oxoglutarate + (S)-3-Aminoisobutyric Acid "
3AIB_Dtm,0,143.128657449461,0,0.000112771810890422,0,1.31588647036551e-05,"D-3-Amino-Isobutanoate  <=> D-3-Amino-Isobutanoate "
3AIBtmi,0,239.862773038207,0,0.00026838820156172,0,0.000346860570289209,"(S)-3-Aminoisobutyric Acid  -> (S)-3-Aminoisobutyric Acid "
3DPHBH2,0,3.22993645778087e-07,0,9.50959704448301e-07,0,9.16710981080371e-07,"Oxygen + Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + 3-Decaprenyl-4-Hydroxybenzoate  -> Water + Nicotinamide Adenine Dinucleotide Phosphate + 3-Decaprenyl-4,5-Dihdydroxybenzoate "
3DSPHR,2.635885838012,586.857880773048,2.642843954562,2.64301627748497,837.760898641571,837.761343532598,"Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + (2S)-1-Hydroxy-3-Oxooctadecan-2-Aminium  -> Nicotinamide Adenine Dinucleotide Phosphate + Sphinganine "
3HADICOAx,0,1.11971130536404e-05,NaN,NaN,0,4.47818603390715e-05,"Oxygen + Water + Adipoyl Coenzyme A  -> Hydrogen Peroxide + 3-Hydroxy-Adipoyl Coenzyme A "
3HADPACte,0,1.11971130536404e-05,NaN,NaN,0,4.47818603390715e-05,"3-Hydroxy-Adipate  -> 3-Hydroxy-Adipate "
3HADPACtxc,0,1.11971130536404e-05,NaN,NaN,0,4.47818603390715e-05,"3-Hydroxy-Adipate  -> 3-Hydroxy-Adipate "
3HADPACx,0,1.11971130536404e-05,NaN,NaN,0,4.47818603390715e-05,"Water + 3-Hydroxy-Adipoyl Coenzyme A  -> Proton + Coenzyme A + 3-Hydroxy-Adipate "
3HBCDm,0,565.478542983688,0,0.000534325931553781,814.160263455939,814.160855852189,"Water + Crotonoyl Coenzyme A  <=> (R)-3-Hydroxybutanoyl Coenzyme A "
3HBCOAHLm,0,252.000408385694,0,0.000840786639059843,0,0.000146312081142241,"Water + (S)-3-Hydroxyisobutyryl Coenzyme A  -> Proton + Coenzyme A + 3-Hydroxy-2-Methylpropanoate "
3HBCOARc,0,565.478542983688,0,0.000534325931553781,814.160263455939,814.160855852189,"(R)-3-Hydroxybutanoyl Coenzyme A  <=> (R)-3-Hydroxybutanoyl Coenzyme A "
3HCO3_NAt,-1000,1000,NaN,NaN,-1000,1000,"3 Bicarbonate + Sodium  <=> 3 Bicarbonate + Sodium "
3HLYTCL,NaN,NaN,0,8.55407398430152e-05,0,3.60590873356159e-05,"Proton + L-Dopa  -> Carbon Dioxide + Dopamine "
3HPVStep,-1000,1000,-1000,1000,-1000,1000,"3'-S-hydroxy-pravastatin  <=> 3'-S-hydroxy-pravastatin "
3HPVSthc,-1000,1000,-1000,1000,-1000,1000,"Bicarbonate + 3'-S-hydroxy-pravastatin  <=> Bicarbonate + 3'-S-hydroxy-pravastatin "
3ISPVStep,-1000,1000,-1000,1000,-1000,1000,"3-alpha-iso-pravastatin  <=> 3-alpha-iso-pravastatin "
3ISPVSthc,-1000,1000,-1000,1000,-1000,1000,"Bicarbonate + 3-alpha-iso-pravastatin  <=> Bicarbonate + 3-alpha-iso-pravastatin "
3M4HDXPAC,NaN,NaN,0,5.40657074097339e-05,NaN,NaN,"Water + Nicotinamide Adenine Dinucleotide + (4-Hydroxy-3-Methoxyphenyl)Acetaldehyde  <=> 2 Proton + Nicotinamide Adenine Dinucleotide - Reduced + Homovanillate "
3MLDAt,NaN,NaN,0,0.000122372831356188,NaN,NaN,"3-Methylimidazoleacetic Acid  <=> 3-Methylimidazoleacetic Acid "
3MOX4HOXMte,0,423.59601178183,NaN,NaN,0,0.00111074296376046,"3-Methoxy-4-Hydroxymandelate  -> 3-Methoxy-4-Hydroxymandelate "
3MOX4HOXPGALDOX_NADP_,NaN,NaN,0,8.2610127492444e-05,NaN,NaN,"Water + Nicotinamide Adenine Dinucleotide Phosphate + 3-Methoxy-4-Hydroxyphenylglycolaldehyde  <=> 2 Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + 3-Methoxy-4-Hydroxymandelate "
3MOXTYRESSte,0,1.52687905341509e-06,NaN,NaN,0,6.09544694185615e-06,"2 Water + 2 Adenosine Triphosphate + 3 3-Methoxytyramine  -> 2 Proton + 2 Adenosine Diphosphate + 2 Orthophosphate + 3 3-Methoxytyramine "
3MOXTYROX,NaN,NaN,0,5.40657074097339e-05,NaN,NaN,"Water + Oxygen + 3-Methoxytyramine  -> Hydrogen Peroxide + Ammonium + (4-Hydroxy-3-Methoxyphenyl)Acetaldehyde "
3OHSEBACte,0,1.11971130062708e-05,NaN,NaN,NaN,NaN,"3-Hydroxy-Sebacic Acid  -> 3-Hydroxy-Sebacic Acid "
3OHSEBACtxc,0,1.11971130062708e-05,NaN,NaN,NaN,NaN,"3-Hydroxy-Sebacic Acid  -> 3-Hydroxy-Sebacic Acid "
3OHSEBACx,0,1.11971130062708e-05,NaN,NaN,NaN,NaN,"Water + 3-Hydroxy-Sebacoyl Coenzyme A  -> Proton + Coenzyme A + 3-Hydroxy-Sebacic Acid "
3OHSEBCOAx,0,1.11971130062708e-05,NaN,NaN,NaN,NaN,"Oxygen + Water + Sebacoyl Coenzyme A  -> Hydrogen Peroxide + 3-Hydroxy-Sebacoyl Coenzyme A "
3OHSUBACte,0,1.11971130536404e-05,NaN,NaN,0,4.47818603106498e-05,"3-Hydoxy-Suberic Acid  -> 3-Hydoxy-Suberic Acid "
3OHSUBACtxc,0,1.11971130536404e-05,NaN,NaN,0,4.47818603106498e-05,"3-Hydoxy-Suberic Acid  -> 3-Hydoxy-Suberic Acid "
3OHSUBACx,0,1.11971130536404e-05,NaN,NaN,0,4.47818603106498e-05,"Water + 3-Hydoxy-Suberyl Coenzyme A  -> Proton + Coenzyme A + 3-Hydoxy-Suberic Acid "
3OHSUBCOAx,0,1.11971130536404e-05,NaN,NaN,0,4.47818603106498e-05,"Oxygen + Water + Suberyl Coenzyme A  -> Hydrogen Peroxide + 3-Hydoxy-Suberyl Coenzyme A "
3SALAASPm,-3.05375802156505e-06,0,-0.00128798191298074,0,-5.74787513563277e-05,0,"3-Sulfino-L-Alanine + L-Aspartate  <=> 3-Sulfino-L-Alanine + L-Aspartate "
3SALACBOXL,NaN,NaN,NaN,NaN,0,0.00013884287023691,"2 Proton + 3-Sulfino-L-Alanine  -> Carbon Dioxide + Hypotaurine "
3SALAOX,0,44.5796850554029,0,5.35202395326451e-05,0,6.94214360805745e-05,"Oxygen + 2 Proton + 2 3-Sulfino-L-Alanine  -> 2 L-Cysteic Acid "
3SALATAi,442.563405134401,671.666674019438,326.797435982545,326.799960718798,0,1.28242777432949e-05,"Proton + 2-Oxoglutarate + 3-Sulfino-L-Alanine  -> L-Glutamate + 3-Sulfinopyruvate "
3SALATAim,0,3.05375802156505e-06,0,0.00128798191298074,0,5.74787513563277e-05,"Proton + 2-Oxoglutarate + 3-Sulfino-L-Alanine  -> L-Glutamate + 3-Sulfinopyruvate "
3SPYRSP,442.563405134401,671.666674019438,326.797435982545,326.799960718798,0,1.28242777432949e-05,"Water + 3-Sulfinopyruvate  -> Proton + Pyruvate + Sulfite "
3SPYRSPm,0,3.05375802156505e-06,0,0.00128798191298074,0,5.74787513563277e-05,"Water + 3-Sulfinopyruvate  -> Proton + Pyruvate + Sulfite "
3UIBtd,-143.128657449461,0,-0.000112771810890422,0,-1.31588647036551e-05,0,"3-Ureidoisobutyrate  <=> 3-Ureidoisobutyrate "
41R1H2MAE12BOOX,NaN,NaN,0,5.40657072924944e-05,NaN,NaN,"Water + Oxygen + Adrenaline  -> Hydrogen Peroxide + 3,4-Dihydroxymandelaldehyde + Methylammonium "
41R2A1H12BOOX,0,110.413535746727,0,8.26101272650703e-05,0,1.00596265610875e-05,"Water + Oxygen + Norepinephrine  -> Hydrogen Peroxide + Ammonium + 3,4-Dihydroxymandelaldehyde "
42A12BOOX,0,110.413535746727,0,5.4065707161044e-05,NaN,NaN,"Water + Oxygen + Dopamine  -> Hydrogen Peroxide + Ammonium + 3,4-Dihydroxyphenylacetaldehyde "
4AABUTNt,-67.8090216201757,0,-9.14828110882837e-05,0,-1.36665252057355e-05,0,"4-Acetamidobutanoate  <=> 4-Acetamidobutanoate "
4ABUTtm,-1000,-844.800910508013,-1000,-999.999808316059,0,4.73495304836187e-06,"4-Aminobutanoate  <=> 4-Aminobutanoate "
4HATVACIDtep,-1000,1000,-1000,1000,-1000,1000,"4-hydroxy-atorvastatin-acid / para-hydroxy-atorvastatin acid  <=> 4-hydroxy-atorvastatin-acid / para-hydroxy-atorvastatin acid "
4HATVACIDthc,-1000,1000,-1000,1000,-1000,1000,"Bicarbonate + 4-hydroxy-atorvastatin-acid / para-hydroxy-atorvastatin acid  <=> Bicarbonate + 4-hydroxy-atorvastatin-acid / para-hydroxy-atorvastatin acid "
4HATVLACtep,-1000,1000,-1000,1000,-1000,1000,"4-hydroxy-atorvastatin-lactone / para-hydroxy-atorvastatin lactone  <=> 4-hydroxy-atorvastatin-lactone / para-hydroxy-atorvastatin lactone "
4HATVLACthc,-1000,1000,-1000,1000,-1000,1000,"Bicarbonate + 4-hydroxy-atorvastatin-lactone / para-hydroxy-atorvastatin lactone  <=> Bicarbonate + 4-hydroxy-atorvastatin-lactone / para-hydroxy-atorvastatin lactone "
4HBZCOAFm,0,3.22993645778087e-07,0,9.50959704448301e-07,0,9.16710981080371e-07,"Water + Nicotinamide Adenine Dinucleotide + Coenzyme A + P-Coumaroyl Coenzyme A  -> Proton + Nicotinamide Adenine Dinucleotide - Reduced + 4-Hydroxybenzoyl Coenzyme A + Acetyl Coenzyme A "
4HBZFm,0,3.22993645778087e-07,0,9.50959704448301e-07,0,9.16710981080371e-07,"Water + 4-Hydroxybenzoyl Coenzyme A  -> Proton + Coenzyme A + 4-Hydroxybenzoate "
4HGLSDm,0,1000,0,1000,NaN,NaN,"Water + Nicotinamide Adenine Dinucleotide + L-4-Hydroxyglutamic Semialdehyde  -> 2 Proton + Nicotinamide Adenine Dinucleotide - Reduced + Erythro-4-Hydroxy-L-Glutamate "
4HOXPACDOX_NADP_,NaN,NaN,0,7.64113732998339e-05,NaN,NaN,"Water + Nicotinamide Adenine Dinucleotide Phosphate + (4-Hydroxyphenyl)Acetaldehyde  <=> 2 Proton + Nicotinamide Adenine Dinucleotide Phosphate - Reduced + 4-Hydroxyphenylacetate "
4HPROLTASCT1,0,45.7346114621061,0,4.86600305471541e-05,NaN,NaN,"Sodium + L-Alanine + Trans-4-Hydroxy-L-Proline  -> Sodium + L-Alanine + Trans-4-Hydroxy-L-Proline "
4HPRO_LTte,0,45.7346114621061,0,4.86600305471541e-05,NaN,NaN,"Trans-4-Hydroxy-L-Proline  <=> Trans-4-Hydroxy-L-Proline "
5AOPtm,-83.8485991552011,0,-0.000139704958698417,0,-1.95558158111453e-05,0,"5-Amino-4-Oxopentanoate  <=> 5-Amino-4-Oxopentanoate "
5HOXINDACTO2OX,0,367.343049684306,0,0.000338833616709167,0,313.859254007872,"Water + Oxygen + (5-Hydroxyindol-3-Yl)Acetaldehyde  -> Hydrogen Peroxide + Proton + 5-Hydroxyindoleacetate "
5HOXINOXDA,NaN,NaN,0,8.26101277198177e-05,NaN,NaN,"Water + Oxygen + Serotonin  -> Hydrogen Peroxide + Ammonium + (5-Hydroxyindol-3-Yl)Acetaldehyde "
5MTAte,-2.39938136863722e-06,0,-7.17243909775789e-06,0,-7.49246763120937e-06,0,"5-Methylthioadenosine  <=> 5-Methylthioadenosine "
6EPVStep,-1000,1000,-1000,1000,-1000,1000,"6-epipravastatin  <=> 6-epipravastatin "
6EPVSthc,-1000,1000,-1000,1000,-1000,1000,"Bicarbonate + 6-epipravastatin  <=> Bicarbonate + 6-epipravastatin "
7DHFtl,0,7.46474203576023e-06,0,1.09697280616938e-05,0,4.42813689005561e-06,"Heptaglutamyl Folate (Dhf)  -> Heptaglutamyl Folate (Dhf) "
7DHFtm,0,7.46474203576023e-06,0,1.09697280095133e-05,0,4.03213016397785e-06,"Heptaglutamyl Folate (Dhf)  -> Heptaglutamyl Folate (Dhf) "
7THFtl,NaN,NaN,0,1.16228664974738e-05,NaN,NaN,"Heptaglutamyl Folate (Thf)  -> Heptaglutamyl Folate (Thf) "
7THFtm,0,2.16718314233379e-06,0,1.1622866448846e-05,0,2.8129686597822e-06,"Heptaglutamyl Folate (Thf)  -> Heptaglutamyl Folate (Thf) "
A4GALTc,0,5.59855652682018e-06,0,3.48223296668948e-05,0,2.43547541458611e-05,"Galactosyl Glucosyl Ceramide + Uridine-5'-Diphosphate-D-Galactose  -> Proton + Trihexosyl Ceramide + Uridine Diphosphate "
A4GALTg,NaN,NaN,0,2.53372440361943e-06,NaN,NaN,"Galactosyl Glucosyl Ceramide + Uridine-5'-Diphosphate-D-Galactose  -> Proton + Trihexosyl Ceramide + Uridine Diphosphate "
AASAD3m,0,99.8185566424406,0,0.000166329011612731,0,1.59346732004906e-05,"Water + Nicotinamide Adenine Dinucleotide + L-Allysine  -> 2 Proton + L-2-Aminoadipate + Nicotinamide Adenine Dinucleotide - Reduced "
ABTArm,-1000,-844.800910508013,-1000,-999.999808316059,0,4.73495304836187e-06,"2-Oxoglutarate + 4-Aminobutanoate  <=> L-Glutamate + Succinic Semialdehyde "
ABTti,0,1000,0,720.084795563877,0,1000,"L-Arabinitol  -> L-Arabinitol "
ABUTD,0,2.3993811737455e-06,0,6.44043940893927e-06,0,4.73495304836187e-06,"Water + Nicotinamide Adenine Dinucleotide + 4-Aminobutanal  -> 2 Proton + Nicotinamide Adenine Dinucleotide - Reduced + 4-Aminobutanoate "
ABUTt4_2_r,-1000,-844.800910508013,NaN,NaN,-2.47572287435105e-05,0,"2 Sodium + 4-Aminobutanoate  <=> 2 Sodium + 4-Aminobutanoate "
ACACT10m,-234.499405474621,111.886447387381,-0.000176598593384369,0.000176598595658106,-2.65852058873861e-05,2.20980660011646e-05,"Coenzyme A + 2-Methylacetoacetyl Coenzyme A  <=> Acetyl Coenzyme A + Propanoyl Coenzyme A "
ACACT1r,0,232.436388039336,180.355803138953,180.360100859842,0,0.000370247652710987,"2 Acetyl Coenzyme A  <=> Coenzyme A + Acetoacetyl Coenzyme A "
ACACT1rm,300.588931982543,848.744244832154,0,0.00053432592521574,814.160263455939,814.160855852189,"2 Acetyl Coenzyme A  -> Coenzyme A + Acetoacetyl Coenzyme A "
ACACT1x,0,151.61974664895,0,0.000342285947707816,0,0.000370247658565859,"2 Acetyl Coenzyme A  -> Coenzyme A + Acetoacetyl Coenzyme A "
ACACT4p,0,87.3897111682417,0,5.01035986353315e-05,0,162.238962686122,"Coenzyme A + 3-Oxodecanoyl Coenzyme A  -> Acetyl Coenzyme A + Octanoyl Coenzyme A (N-C8:0 Coenzyme A) "
ACACT5p,0,87.3897111682414,0,2.30976912615739e-06,0,162.23896268612,"Coenzyme A + 3-Oxododecanoyl Coenzyme A  -> Acetyl Coenzyme A + Decanoyl Coenzyme A (N-C10:0 Coenzyme A) "
ACACT6p,0,87.3897111682417,0,0.00017114297383883,0,162.238962686118,"Coenzyme A + 3-Oxotetradecanoyl Coenzyme A  -> Acetyl Coenzyme A + Lauroyl Coenzyme A "
ACACT7p,0,87.3897111682417,0,0.00017114297383883,0,162.238962686118,"Coenzyme A + 3-Oxopalmitoyl Coenzyme A  -> Acetyl Coenzyme A + Myristoyl Coenzyme A "
ACACT8p,0,7.63439526384569e-07,0,2.19412255907979e-06,0,0.000171437338167379,"Coenzyme A + 3-Oxooctadecanoyl Coenzyme A  -> Acetyl Coenzyme A + Palmitoyl Coenzyme A (N-C16:0 Coenzyme A) "
ACACT9p,0,7.63439522508882e-07,0,2.19412255907979e-06,0,3.32110269596342e-06,"Coenzyme A + 3-Oxohexacosyl Coenzyme A  -> Acetyl Coenzyme A + Tetracosanoyl Coenzyme A "
ACACt2,-1000,1000,-1000,1000,-1000,1000,"Proton + Acetoacetate  <=> Proton + Acetoacetate "
ACACt2m,-721.702857360479,-127.102575725034,180.355803138947,180.360100859841,NaN,NaN,"Proton + Acetoacetate  <=> Proton + Acetoacetate "
ACACtx,-240.491722467845,0,-180.360100859823,-180.355803138953,NaN,NaN,"Acetoacetate  <=> Acetoacetate "
ACALDtm,-1.11971130536404e-05,0,-5.00930559899082e-05,0,-8.33615115425346e-05,0,"Acetaldehyde  <=> Acetaldehyde "
ACALDtx,0,1.11971130536404e-05,0,3.85305687543228e-05,0,6.06154835622874e-05,"Acetaldehyde  <=> Acetaldehyde "
ACCOAC,0,3.05375810683017e-06,0,9.69552361063108e-06,0,1.44002644155705e-05,"Adenosine Triphosphate + Bicarbonate + Acetyl Coenzyme A  -> Proton + Adenosine Diphosphate + Orthophosphate + Malonyl Coenzyme A "
ACCOACm,0,2.23942261072807e-05,0,0.000195931812697836,0,0.000134418115180779,"Acetyl Coenzyme A + Adenosine Triphosphate + Bicarbonate  -> Proton + Adenosine Diphosphate + Orthophosphate + Malonyl Coenzyme A "
ACCOAL,NaN,NaN,NaN,NaN,0,1.328441055648e-05,"Adenosine Triphosphate + Coenzyme A + Propionate  -> Adenosine Diphosphate + Orthophosphate + Propanoyl Coenzyme A "
ACCOALm,0,1.11971129967969e-05,0,5.59104795030407e-05,NaN,NaN,"Coenzyme A + Adenosine Triphosphate + Propionate  -> Propanoyl Coenzyme A + Adenosine Monophosphate + Diphosphate "
ACCOAtr,-1000,1000,-1000,458.932590583152,-1000,1000,"Acetyl Coenzyme A  <=> Acetyl Coenzyme A "
ACETONEt2m,NaN,NaN,-180.360100859843,-180.355803138951,NaN,NaN,"Proton + Acetone  <=> Proton + Acetone "
ACGAGBSIDEtg,NaN,NaN,-2.53372440361943e-06,0,NaN,NaN,"Alpha-GalNac-Globoside  <=> Alpha-GalNac-Globoside "
ACGAGBSIDEtl,NaN,NaN,0,2.53372440361943e-06,NaN,NaN,"Alpha-GalNac-Globoside  <=> Alpha-GalNac-Globoside "
ACGALK2,0,1.11971130536404e-05,0,3.48223286366078e-05,0,4.870950576219e-05,"N-Acetyl-D-Galactosamine + Iinosine-5'-Triphosphate  -> Proton + N-Acetyl-D-Galactosamine 1-Phosphate + Inosine-5'-Diphosphate "
ACGALtly,0,5.59855652682018e-06,0,1.74111642969876e-05,0,2.43547536342703e-05,"N-Acetyl-D-Galactosamine  -> N-Acetyl-D-Galactosamine "
ACGAM2E,0,9.07874027535473e-07,NaN,NaN,0,3.99726580250391e-06,"N-Acetyl-D-Glucosamine  <=> N-Acetyl-D-Mannosamine "
