Drugs,Subtype,grRatio,DelRxns
eflornithine ;rifamycin,GBM,0,r2193; r2309; r2310; r2317; ORNDC; HMR_4422; 2HATVACIDthc; 2HATVLACthc; 35DHPVSthc; 3HPVSthc; 3ISPVSthc; 4HATVACIDthc; 4HATVLACthc; 6EPVSthc; ATVACIDOATPtu; ATVLACThc; FVStu; PTVSTtu; PVSOATPtu; RSVtu
fluorouracil ;acetazolamide,GBM,0,ADNtm; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT; PPP9ABCte
fluorouracil ;brinzolamide,GBM,0,ADNtm; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT; PPP9ABCte
fluorouracil ;celecoxib,GBM,0,ADNtm; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT; PPP9ABCte
fluorouracil ;diclofenamide,GBM,0,ADNtm; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT; PPP9ABCte
fluorouracil ;dobutamine,GBM,0,34DHPHAMT; ADNtm; DOPAMT; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT; PPP9ABCte
fluorouracil ;dorzolamide,GBM,0,ACTNMO; ADNtm; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT; PPP9ABCte
fluorouracil ;ethoxzolamide,GBM,0,ADNtm; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT; PPP9ABCte
fluorouracil ;indapamide,GBM,0,ADNtm; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT; PPP9ABCte
fluorouracil ;methazolamide,GBM,0,ACTNMO; ADNtm; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT; PPP9ABCte
fluorouracil ;resveratrol,GBM,0,3MOXTYROX; 41R1H2MAE12BOOX; 41R2A1H12BOOX; 5HOXINOXDA; ADNtm; ALOX5; ALOX52; APRTO2; CBR2; DURAD; GLCtg; H2CO3Dm; LTA4H; MAOLNOR; THYMDtm; TYROXDAc; RE3430C; H2CO3D; GLUPRT; ORNDC; PPP9ABCte; HMR_4422; HMR_6747
fluorouracil ;sulfanilamide,GBM,0,ACTNMO; ADNtm; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT; PPP9ABCte
fluorouracil ;topiramate,GBM,0,ADNtm; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT; PPP9ABCte
fluorouracil ;zidovudine,GBM,0,ADEt; ADNt; ADNtm; CYTDt; DURAD; GSNt; THYMDt1; THYMDtm; URIt; GLUPRT; HYXNt; PPP9ABCte; CE1918te; 34DHPHAte; 34DHOXMANDte; HMR_8476
fluorouracil ;zonisamide,GBM,0,3MOXTYROX; 41R1H2MAE12BOOX; 41R2A1H12BOOX; 5HOXINDACTO2OX; 5HOXINOXDA; ADNtm; APRTO2; DURAD; H2CO3Dm; MAOLNOR; THYMDtm; TYROXDAc; r1418; H2CO3D; GLUPRT; PPP9ABCte; HMR_6747
cannabidiol ;adapalene,ODG,0,3SALATAi; ALOX5; ALOX52; CAT2p; CATm; CATp; CYSTA; GTHO; GTHOm; LCYSTAT; SPODMn; SPODMx; THYMDtm; r0021; r0022; r0488; ASPTA; SPODM; PHETA1; 2M3OVCOAm; CE2006te; HMR_4630
cannabidiol ;zidovudine,ODG,0,ADEt; ALOX5; ALOX52; CAT2p; CATm; CATp; CYTDt; GSNt; GTHO; GTHOm; SPODMn; SPODMx; THYMDtm; URIt; r0021; r0022; r0488; FOLOAT2tc; SPODM; 2M3OVCOAm; CE2006te; 34DHPHAte; HMR_4630
fluorouracil ;acetazolamide,ODG,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT
fluorouracil ;brinzolamide,ODG,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT
fluorouracil ;celecoxib,ODG,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT
fluorouracil ;diclofenamide,ODG,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT
fluorouracil ;dobutamine,ODG,0,34DHPHAMT; DOPAMT; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT
fluorouracil ;dorzolamide,ODG,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT
fluorouracil ;ethoxzolamide,ODG,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT
fluorouracil ;indapamide,ODG,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT
fluorouracil ;methazolamide,ODG,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT
fluorouracil ;resveratrol,ODG,0,41R2A1H12BOOX; ALOX5; ALOX52; APRTO2; CBR2; DURAD; GLCtg; H2CO3Dm; LTA4H; THYMDtm; H2CO3D; GLUPRT; ORNDC; HMR_4422
fluorouracil ;sulfanilamide,ODG,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT
fluorouracil ;topiramate,ODG,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT
fluorouracil ;zidovudine,ODG,0,ADEt; CYTDt; DURAD; GSNt; THYMDtm; URIt; FOLOAT2tc; GLUPRT; 34DHPHAte
fluorouracil ;zonisamide,ODG,0,41R2A1H12BOOX; 5HOXINDACTO2OX; APRTO2; DURAD; H2CO3Dm; THYMDtm; r1418; H2CO3D; GLUPRT
