Drugs,Subtype,TYPE2,SYMBOL
brivudine,GBM,Single Drug Deletion,TK1
brivudine,GBM,Single Drug Deletion,TK2
brivudine,ODG,Single Drug Deletion,TK1
brivudine,ODG,Single Drug Deletion,TK2
cannabidiol,AST,Double Drug Deletion,ABCC1
cannabidiol,AST,Double Drug Deletion,ACAT1
cannabidiol,AST,Double Drug Deletion,SLC29A1
cannabidiol,AST,Double Drug Deletion,ALOX5
cannabidiol,AST,Double Drug Deletion,CAT
cannabidiol,AST,Double Drug Deletion,GSR
cannabidiol,AST,Double Drug Deletion,SOD1
cannabidiol,AST,Double Drug Deletion,HMGCR
cannabidiol,GBM,Double Drug Deletion,ABCC1
cannabidiol,GBM,Double Drug Deletion,ACAT1
cannabidiol,GBM,Double Drug Deletion,SLC29A1
cannabidiol,GBM,Double Drug Deletion,ALOX5
cannabidiol,GBM,Double Drug Deletion,CAT
cannabidiol,GBM,Double Drug Deletion,GSR
cannabidiol,GBM,Double Drug Deletion,SOD1
cannabidiol,GBM,Double Drug Deletion,HMGCR
cannabidiol,GBM,Double Drug Deletion,ABCG2
cannabidiol,ODG,Double Drug Deletion,ABCC1
cannabidiol,ODG,Double Drug Deletion,ACAT1
cannabidiol,ODG,Double Drug Deletion,SLC29A1
cannabidiol,ODG,Double Drug Deletion,ALOX5
cannabidiol,ODG,Double Drug Deletion,CAT
cannabidiol,ODG,Double Drug Deletion,GSR
cannabidiol,ODG,Double Drug Deletion,SOD1
cannabidiol,ODG,Double Drug Deletion,HMGCR
celecoxib,AST,Double Drug Deletion,CA5A
celecoxib,AST,Double Drug Deletion,CA5B
celecoxib,AST,Double Drug Deletion,CA12
celecoxib,AST,Double Drug Deletion,CA2
celecoxib,AST,Double Drug Deletion,CA9
celecoxib,AST,Double Drug Deletion,CA14
celecoxib,AST,Double Drug Deletion,CA6
celecoxib,AST,Double Drug Deletion,CA1
celecoxib,AST,Double Drug Deletion,CA4
celecoxib,AST,Double Drug Deletion,CA7
celecoxib,AST,Double Drug Deletion,CA13
celecoxib,AST,Double Drug Deletion,CA3
celecoxib,GBM,Double Drug Deletion,CA5A
celecoxib,GBM,Double Drug Deletion,CA5B
celecoxib,GBM,Double Drug Deletion,CA12
celecoxib,GBM,Double Drug Deletion,CA2
celecoxib,GBM,Double Drug Deletion,CA9
celecoxib,GBM,Double Drug Deletion,CA14
celecoxib,GBM,Double Drug Deletion,CA6
celecoxib,GBM,Double Drug Deletion,CA1
celecoxib,GBM,Double Drug Deletion,CA4
celecoxib,GBM,Double Drug Deletion,CA7
celecoxib,GBM,Double Drug Deletion,CA13
celecoxib,GBM,Double Drug Deletion,ABCG2
celecoxib,GBM,Double Drug Deletion,CA3
celecoxib,ODG,Double Drug Deletion,CA5A
celecoxib,ODG,Double Drug Deletion,CA5B
celecoxib,ODG,Double Drug Deletion,CA12
celecoxib,ODG,Double Drug Deletion,CA2
celecoxib,ODG,Double Drug Deletion,CA9
celecoxib,ODG,Double Drug Deletion,CA14
celecoxib,ODG,Double Drug Deletion,CA6
celecoxib,ODG,Double Drug Deletion,CA1
celecoxib,ODG,Double Drug Deletion,CA4
celecoxib,ODG,Double Drug Deletion,CA7
celecoxib,ODG,Double Drug Deletion,CA13
celecoxib,ODG,Double Drug Deletion,CA3
cladribine,AST,Single Drug Deletion,DCK
cladribine,AST,Single Drug Deletion,PNP
cladribine,AST,Single Drug Deletion,RRM2B
cladribine,AST,Single Drug Deletion,RRM1
cladribine,AST,Single Drug Deletion,RRM2
cladribine,GBM,Single Drug Deletion,ADA
cladribine,GBM,Single Drug Deletion,DCK
cladribine,GBM,Single Drug Deletion,PNP
cladribine,GBM,Single Drug Deletion,RRM2B
cladribine,GBM,Single Drug Deletion,RRM1
cladribine,GBM,Single Drug Deletion,RRM2
cladribine,GBM,Single Drug Deletion,ABCG2
cladribine,ODG,Single Drug Deletion,SLC28A3
cladribine,ODG,Single Drug Deletion,DCK
cladribine,ODG,Single Drug Deletion,PNP
cladribine,ODG,Single Drug Deletion,RRM2B
cladribine,ODG,Single Drug Deletion,RRM1
cladribine,ODG,Single Drug Deletion,RRM2
clofarabine,AST,Single Drug Deletion,DCK
clofarabine,AST,Single Drug Deletion,RRM2B
clofarabine,AST,Single Drug Deletion,RRM1
clofarabine,AST,Single Drug Deletion,RRM2
clofarabine,GBM,Single Drug Deletion,DCK
clofarabine,GBM,Single Drug Deletion,RRM2B
clofarabine,GBM,Single Drug Deletion,RRM1
clofarabine,GBM,Single Drug Deletion,RRM2
clofarabine,GBM,Single Drug Deletion,ABCG2
clofarabine,ODG,Single Drug Deletion,DCK
clofarabine,ODG,Single Drug Deletion,RRM2B
clofarabine,ODG,Single Drug Deletion,RRM1
clofarabine,ODG,Single Drug Deletion,RRM2
decitabine,AST,Single Drug Deletion,CMPK1
decitabine,AST,Single Drug Deletion,DCK
decitabine,GBM,Single Drug Deletion,CMPK1
decitabine,GBM,Single Drug Deletion,DCK
decitabine,ODG,Single Drug Deletion,CMPK1
decitabine,ODG,Single Drug Deletion,DCK
diclofenamide,AST,Double Drug Deletion,CA5A
diclofenamide,AST,Double Drug Deletion,CA5B
diclofenamide,AST,Double Drug Deletion,CA12
diclofenamide,AST,Double Drug Deletion,CA2
diclofenamide,AST,Double Drug Deletion,CA9
diclofenamide,AST,Double Drug Deletion,CA14
diclofenamide,AST,Double Drug Deletion,CA6
diclofenamide,AST,Double Drug Deletion,CA1
diclofenamide,AST,Double Drug Deletion,CA4
diclofenamide,AST,Double Drug Deletion,CA7
diclofenamide,AST,Double Drug Deletion,CA13
diclofenamide,AST,Double Drug Deletion,CA3
diclofenamide,GBM,Double Drug Deletion,CA5A
diclofenamide,GBM,Double Drug Deletion,CA5B
diclofenamide,GBM,Double Drug Deletion,CA12
diclofenamide,GBM,Double Drug Deletion,CA2
diclofenamide,GBM,Double Drug Deletion,CA9
diclofenamide,GBM,Double Drug Deletion,CA14
diclofenamide,GBM,Double Drug Deletion,CA6
diclofenamide,GBM,Double Drug Deletion,CA1
diclofenamide,GBM,Double Drug Deletion,CA4
diclofenamide,GBM,Double Drug Deletion,CA7
diclofenamide,GBM,Double Drug Deletion,CA13
diclofenamide,GBM,Double Drug Deletion,CA3
diclofenamide,ODG,Double Drug Deletion,CA5A
diclofenamide,ODG,Double Drug Deletion,CA5B
diclofenamide,ODG,Double Drug Deletion,CA12
diclofenamide,ODG,Double Drug Deletion,CA2
diclofenamide,ODG,Double Drug Deletion,CA9
diclofenamide,ODG,Double Drug Deletion,CA14
diclofenamide,ODG,Double Drug Deletion,CA6
diclofenamide,ODG,Double Drug Deletion,CA1
diclofenamide,ODG,Double Drug Deletion,CA4
diclofenamide,ODG,Double Drug Deletion,CA7
diclofenamide,ODG,Double Drug Deletion,CA13
diclofenamide,ODG,Double Drug Deletion,CA3
didanosine,AST,Single Drug Deletion,SLC29A2
didanosine,AST,Single Drug Deletion,SLC29A1
didanosine,AST,Single Drug Deletion,PNP
didanosine,GBM,Single Drug Deletion,SLC29A2
didanosine,GBM,Single Drug Deletion,SLC29A1
didanosine,GBM,Single Drug Deletion,PNP
didanosine,ODG,Single Drug Deletion,SLC29A2
didanosine,ODG,Single Drug Deletion,SLC29A1
didanosine,ODG,Single Drug Deletion,PNP
didox,ODG,Single Drug Deletion,RRM1
dobutamine,AST,Double Drug Deletion,COMT
dobutamine,AST,Double Drug Deletion,CA5A
dobutamine,AST,Double Drug Deletion,CA5B
dobutamine,AST,Double Drug Deletion,CA12
dobutamine,AST,Double Drug Deletion,CA2
dobutamine,AST,Double Drug Deletion,CA9
dobutamine,AST,Double Drug Deletion,CA14
dobutamine,AST,Double Drug Deletion,CA6
dobutamine,AST,Double Drug Deletion,CA1
dobutamine,AST,Double Drug Deletion,CA4
dobutamine,AST,Double Drug Deletion,CA7
dobutamine,AST,Double Drug Deletion,CA13
dobutamine,AST,Double Drug Deletion,CA3
dobutamine,GBM,Double Drug Deletion,COMT
dobutamine,GBM,Double Drug Deletion,CA5A
dobutamine,GBM,Double Drug Deletion,CA5B
dobutamine,GBM,Double Drug Deletion,CA12
dobutamine,GBM,Double Drug Deletion,CA2
dobutamine,GBM,Double Drug Deletion,CA9
dobutamine,GBM,Double Drug Deletion,CA14
dobutamine,GBM,Double Drug Deletion,CA6
dobutamine,GBM,Double Drug Deletion,CA1
dobutamine,GBM,Double Drug Deletion,CA4
dobutamine,GBM,Double Drug Deletion,CA7
dobutamine,GBM,Double Drug Deletion,CA13
dobutamine,GBM,Double Drug Deletion,CA3
dobutamine,ODG,Double Drug Deletion,COMT
dobutamine,ODG,Double Drug Deletion,CA5A
dobutamine,ODG,Double Drug Deletion,CA5B
dobutamine,ODG,Double Drug Deletion,CA12
dobutamine,ODG,Double Drug Deletion,CA2
dobutamine,ODG,Double Drug Deletion,CA9
dobutamine,ODG,Double Drug Deletion,CA14
dobutamine,ODG,Double Drug Deletion,CA6
dobutamine,ODG,Double Drug Deletion,CA1
dobutamine,ODG,Double Drug Deletion,CA4
dobutamine,ODG,Double Drug Deletion,CA7
dobutamine,ODG,Double Drug Deletion,CA13
dobutamine,ODG,Double Drug Deletion,CA3
dorzolamide,AST,Double Drug Deletion,CA5A
dorzolamide,AST,Double Drug Deletion,CA5B
dorzolamide,AST,Double Drug Deletion,CA12
dorzolamide,AST,Double Drug Deletion,CA2
dorzolamide,AST,Double Drug Deletion,CA9
dorzolamide,AST,Double Drug Deletion,CA14
dorzolamide,AST,Double Drug Deletion,CA6
dorzolamide,AST,Double Drug Deletion,CA1
dorzolamide,AST,Double Drug Deletion,CA4
dorzolamide,AST,Double Drug Deletion,CA7
dorzolamide,AST,Double Drug Deletion,CA13
dorzolamide,AST,Double Drug Deletion,CA3
dorzolamide,GBM,Double Drug Deletion,CYP2E1
dorzolamide,GBM,Double Drug Deletion,CA5A
dorzolamide,GBM,Double Drug Deletion,CA5B
dorzolamide,GBM,Double Drug Deletion,CA12
dorzolamide,GBM,Double Drug Deletion,CA2
dorzolamide,GBM,Double Drug Deletion,CA9
dorzolamide,GBM,Double Drug Deletion,CA14
dorzolamide,GBM,Double Drug Deletion,CA6
dorzolamide,GBM,Double Drug Deletion,CA1
dorzolamide,GBM,Double Drug Deletion,CA4
dorzolamide,GBM,Double Drug Deletion,CA7
dorzolamide,GBM,Double Drug Deletion,CA13
dorzolamide,GBM,Double Drug Deletion,CA3
dorzolamide,ODG,Double Drug Deletion,CA5A
dorzolamide,ODG,Double Drug Deletion,CA5B
dorzolamide,ODG,Double Drug Deletion,CA12
dorzolamide,ODG,Double Drug Deletion,CA2
dorzolamide,ODG,Double Drug Deletion,CA9
dorzolamide,ODG,Double Drug Deletion,CA14
dorzolamide,ODG,Double Drug Deletion,CA6
dorzolamide,ODG,Double Drug Deletion,CA1
dorzolamide,ODG,Double Drug Deletion,CA4
dorzolamide,ODG,Double Drug Deletion,CA7
dorzolamide,ODG,Double Drug Deletion,CA13
dorzolamide,ODG,Double Drug Deletion,CA3
eflornithine,GBM,Double Drug Deletion,ODC1
enocitabine,AST,Single Drug Deletion,CMPK1
enocitabine,GBM,Single Drug Deletion,CMPK1
enocitabine,ODG,Single Drug Deletion,CMPK1
enocitabine,ODG,Single Drug Deletion,RRM1
ethoxzolamide,AST,Double Drug Deletion,CA5A
ethoxzolamide,AST,Double Drug Deletion,CA5B
ethoxzolamide,AST,Double Drug Deletion,CA12
ethoxzolamide,AST,Double Drug Deletion,CA2
ethoxzolamide,AST,Double Drug Deletion,CA9
ethoxzolamide,AST,Double Drug Deletion,CA14
ethoxzolamide,AST,Double Drug Deletion,CA6
ethoxzolamide,AST,Double Drug Deletion,CA1
ethoxzolamide,AST,Double Drug Deletion,CA4
ethoxzolamide,AST,Double Drug Deletion,CA7
ethoxzolamide,AST,Double Drug Deletion,CA13
ethoxzolamide,AST,Double Drug Deletion,CA3
ethoxzolamide,GBM,Double Drug Deletion,CA5A
ethoxzolamide,GBM,Double Drug Deletion,CA5B
ethoxzolamide,GBM,Double Drug Deletion,CA12
ethoxzolamide,GBM,Double Drug Deletion,CA2
ethoxzolamide,GBM,Double Drug Deletion,CA9
ethoxzolamide,GBM,Double Drug Deletion,CA14
ethoxzolamide,GBM,Double Drug Deletion,CA6
ethoxzolamide,GBM,Double Drug Deletion,CA1
ethoxzolamide,GBM,Double Drug Deletion,CA4
ethoxzolamide,GBM,Double Drug Deletion,CA7
ethoxzolamide,GBM,Double Drug Deletion,CA13
ethoxzolamide,GBM,Double Drug Deletion,CA3
ethoxzolamide,ODG,Double Drug Deletion,CA5A
ethoxzolamide,ODG,Double Drug Deletion,CA5B
ethoxzolamide,ODG,Double Drug Deletion,CA12
ethoxzolamide,ODG,Double Drug Deletion,CA2
ethoxzolamide,ODG,Double Drug Deletion,CA9
ethoxzolamide,ODG,Double Drug Deletion,CA14
ethoxzolamide,ODG,Double Drug Deletion,CA6
ethoxzolamide,ODG,Double Drug Deletion,CA1
ethoxzolamide,ODG,Double Drug Deletion,CA4
ethoxzolamide,ODG,Double Drug Deletion,CA7
ethoxzolamide,ODG,Double Drug Deletion,CA13
ethoxzolamide,ODG,Double Drug Deletion,CA3
ezetimibe,ODG,Single Drug Deletion,ANPEP
fludarabine-phosphate,AST,Single Drug Deletion,RRM2B
fludarabine-phosphate,AST,Single Drug Deletion,RRM1
fludarabine-phosphate,AST,Single Drug Deletion,RRM2
fludarabine-phosphate,GBM,Single Drug Deletion,RRM2B
fludarabine-phosphate,GBM,Single Drug Deletion,RRM1
fludarabine-phosphate,GBM,Single Drug Deletion,RRM2
fludarabine-phosphate,ODG,Single Drug Deletion,RRM2B
fludarabine-phosphate,ODG,Single Drug Deletion,RRM1
fludarabine-phosphate,ODG,Single Drug Deletion,RRM2
fluorouracil,AST,Double Drug Deletion,SLC29A1
fluorouracil,AST,Double Drug Deletion,DPYD
fluorouracil,AST,Double Drug Deletion,PPAT
fluorouracil,GBM,Double Drug Deletion,SLC29A1
fluorouracil,GBM,Double Drug Deletion,DPYD
fluorouracil,GBM,Double Drug Deletion,ABCG2
fluorouracil,GBM,Double Drug Deletion,PPAT
fluorouracil,ODG,Double Drug Deletion,SLC29A1
fluorouracil,ODG,Double Drug Deletion,DPYD
fluorouracil,ODG,Double Drug Deletion,SLC22A7
fluorouracil,ODG,Double Drug Deletion,PPAT
fotemustine,AST,Single Drug Deletion,TXNRD1
fotemustine,GBM,Single Drug Deletion,TXNRD1
fotemustine,ODG,Single Drug Deletion,TXNRD1
gabapentin,AST,Single Drug Deletion,SLC7A5
gabapentin,AST,Single Drug Deletion,BCAT1
gabapentin,GBM,Single Drug Deletion,SLC7A5
gabapentin,GBM,Single Drug Deletion,BCAT1
gabapentin,ODG,Single Drug Deletion,SLC7A5
gabapentin,ODG,Single Drug Deletion,BCAT1
gemcitabine,AST,Single Drug Deletion,SLC29A2
gemcitabine,AST,Single Drug Deletion,SLC29A1
gemcitabine,AST,Single Drug Deletion,CMPK1
gemcitabine,AST,Single Drug Deletion,DCK
gemcitabine,AST,Single Drug Deletion,TK2
gemcitabine,AST,Single Drug Deletion,NME1
gemcitabine,GBM,Single Drug Deletion,SLC29A2
gemcitabine,GBM,Single Drug Deletion,SLC29A1
gemcitabine,GBM,Single Drug Deletion,CMPK1
gemcitabine,GBM,Single Drug Deletion,DCK
gemcitabine,GBM,Single Drug Deletion,TK2
gemcitabine,GBM,Single Drug Deletion,NME1
gemcitabine,ODG,Single Drug Deletion,SLC29A2
gemcitabine,ODG,Single Drug Deletion,SLC29A1
gemcitabine,ODG,Single Drug Deletion,SLC28A3
gemcitabine,ODG,Single Drug Deletion,CMPK1
gemcitabine,ODG,Single Drug Deletion,DCK
gemcitabine,ODG,Single Drug Deletion,TK2
gemcitabine,ODG,Single Drug Deletion,NME1
gemcitabine,ODG,Single Drug Deletion,RRM1
gemcitabine,ODG,Single Drug Deletion,RRM2
hydroxyurea,AST,Single Drug Deletion,RRM2B
hydroxyurea,AST,Single Drug Deletion,RRM1
hydroxyurea,AST,Single Drug Deletion,RRM2
hydroxyurea,GBM,Single Drug Deletion,RRM2B
hydroxyurea,GBM,Single Drug Deletion,RRM1
hydroxyurea,GBM,Single Drug Deletion,RRM2
hydroxyurea,ODG,Single Drug Deletion,RRM2B
hydroxyurea,ODG,Single Drug Deletion,RRM1
hydroxyurea,ODG,Single Drug Deletion,RRM2
indapamide,AST,Double Drug Deletion,CA5A
indapamide,AST,Double Drug Deletion,CA5B
indapamide,AST,Double Drug Deletion,CA12
indapamide,AST,Double Drug Deletion,CA2
indapamide,AST,Double Drug Deletion,CA9
indapamide,AST,Double Drug Deletion,CA14
indapamide,AST,Double Drug Deletion,CA6
indapamide,AST,Double Drug Deletion,CA1
indapamide,AST,Double Drug Deletion,CA4
indapamide,AST,Double Drug Deletion,CA7
indapamide,AST,Double Drug Deletion,CA13
indapamide,AST,Double Drug Deletion,CA3
indapamide,GBM,Double Drug Deletion,CA5A
indapamide,GBM,Double Drug Deletion,CA5B
indapamide,GBM,Double Drug Deletion,CA12
indapamide,GBM,Double Drug Deletion,CA2
indapamide,GBM,Double Drug Deletion,CA9
indapamide,GBM,Double Drug Deletion,CA14
indapamide,GBM,Double Drug Deletion,CA6
indapamide,GBM,Double Drug Deletion,CA1
indapamide,GBM,Double Drug Deletion,CA4
indapamide,GBM,Double Drug Deletion,CA7
indapamide,GBM,Double Drug Deletion,CA13
indapamide,GBM,Double Drug Deletion,CA3
indapamide,ODG,Double Drug Deletion,CA5A
indapamide,ODG,Double Drug Deletion,CA5B
indapamide,ODG,Double Drug Deletion,CA12
indapamide,ODG,Double Drug Deletion,CA2
indapamide,ODG,Double Drug Deletion,CA9
indapamide,ODG,Double Drug Deletion,CA14
indapamide,ODG,Double Drug Deletion,CA6
indapamide,ODG,Double Drug Deletion,CA1
indapamide,ODG,Double Drug Deletion,CA4
indapamide,ODG,Double Drug Deletion,CA7
indapamide,ODG,Double Drug Deletion,CA13
indapamide,ODG,Double Drug Deletion,CA3
inosine,ODG,Single Drug Deletion,SLC28A3
inosine,ODG,Single Drug Deletion,PNP
inositol,GBM,Single Drug Deletion,CDIPT
inositol,GBM,Single Drug Deletion,SLC5A3
inositol,ODG,Single Drug Deletion,CDIPT
inositol,ODG,Single Drug Deletion,SLC5A3
lamivudine,AST,Single Drug Deletion,ABCC1
lamivudine,AST,Single Drug Deletion,ABCC2
lamivudine,AST,Single Drug Deletion,CMPK1
lamivudine,AST,Single Drug Deletion,DCK
lamivudine,AST,Single Drug Deletion,NME2
lamivudine,AST,Single Drug Deletion,NME1
lamivudine,AST,Single Drug Deletion,SLC22A1
lamivudine,AST,Single Drug Deletion,PCYT2
lamivudine,GBM,Single Drug Deletion,ABCC1
lamivudine,GBM,Single Drug Deletion,CMPK1
lamivudine,GBM,Single Drug Deletion,DCK
lamivudine,GBM,Single Drug Deletion,SLC22A3
lamivudine,GBM,Single Drug Deletion,NME2
lamivudine,GBM,Single Drug Deletion,NME1
lamivudine,GBM,Single Drug Deletion,PCYT2
lamivudine,GBM,Single Drug Deletion,ABCG2
lamivudine,ODG,Single Drug Deletion,ABCC1
lamivudine,ODG,Single Drug Deletion,CMPK1
lamivudine,ODG,Single Drug Deletion,DCK
lamivudine,ODG,Single Drug Deletion,NME2
lamivudine,ODG,Single Drug Deletion,NME1
lamivudine,ODG,Single Drug Deletion,PCYT2
levodopa,AST,Single Drug Deletion,SLC7A5
levodopa,AST,Single Drug Deletion,CA5A
levodopa,AST,Single Drug Deletion,CA5B
levodopa,GBM,Single Drug Deletion,DDC
levodopa,GBM,Single Drug Deletion,SLC7A5
levodopa,GBM,Single Drug Deletion,CA5A
levodopa,GBM,Single Drug Deletion,CA5B
levodopa,ODG,Single Drug Deletion,DDC
levodopa,ODG,Single Drug Deletion,SLC7A5
levodopa,ODG,Single Drug Deletion,CA5A
levodopa,ODG,Single Drug Deletion,CA5B
levothyroxine,AST,Single Drug Deletion,SLCO1B1
levothyroxine,AST,Single Drug Deletion,SLCO1A2
levothyroxine,AST,Single Drug Deletion,SLC7A5
levothyroxine,AST,Single Drug Deletion,SLCO2B1
levothyroxine,GBM,Single Drug Deletion,SLCO1B1
levothyroxine,GBM,Single Drug Deletion,SLCO1A2
levothyroxine,GBM,Single Drug Deletion,SLC7A5
levothyroxine,GBM,Single Drug Deletion,SLCO2B1
levothyroxine,ODG,Single Drug Deletion,SLCO1B1
levothyroxine,ODG,Single Drug Deletion,SLCO1A2
levothyroxine,ODG,Single Drug Deletion,SLC7A5
levothyroxine,ODG,Single Drug Deletion,SLCO2B1
liothyronine,AST,Single Drug Deletion,ALOX12
liothyronine,AST,Single Drug Deletion,SLCO1A2
liothyronine,AST,Single Drug Deletion,SLC7A5
liothyronine,GBM,Single Drug Deletion,ALOX12
liothyronine,GBM,Single Drug Deletion,SLCO1A2
liothyronine,GBM,Single Drug Deletion,SLC7A5
liothyronine,ODG,Single Drug Deletion,ALOX12
liothyronine,ODG,Single Drug Deletion,SLCO1A2
liothyronine,ODG,Single Drug Deletion,SLC7A5
melphalan,AST,Single Drug Deletion,SLC7A5
melphalan,GBM,Single Drug Deletion,SLC7A5
melphalan,GBM,Single Drug Deletion,SLC22A3
melphalan,ODG,Single Drug Deletion,SLC7A5
mercaptopurine,AST,Single Drug Deletion,AOX1
