Drugs,Subtype,grRatio,DelRxns,All_Targets,Effective_Targets
fluorouracil ;methazolamide,AST,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT,2030.1; 216.1; 1806.1; 763.1; 11238.1; 3028.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 9356.1; 761.1; 766.2; 771.2; 5471.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;resveratrol,AST,0,41R2A1H12BOOX; ALOX5; ALOX52; APRTO2; CBR2; DURAD; GLCtg; H2CO3Dm; LTA4H; THYMDtm; H2CO3D; GLUPRT; ORNDC; HMR_4422,4128.1; 4129.1; 2030.1; 216.1; 246.1; 240.1; 873.1; 6513.1; 1806.1; 763.1; 11238.1; 3028.1; 4048.1; 5743.1; 5742.1; 5291.1; 5290.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 761.1; 766.2; 771.2; 5471.1; 4953.1; 4297.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;sulfanilamide,AST,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT,2030.1; 216.1; 1806.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 761.1; 766.2; 771.2; 5471.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;topiramate,AST,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT,2030.1; 216.1; 1806.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 761.1; 766.2; 771.2; 5471.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;zidovudine,AST,0,ADEt; ADNt; CYTDt; DURAD; THYMDt1; THYMDtm; URIt; GLUPRT; HYXNt; 34DHPHAte,3177.1; 2030.1; 216.1; 6582.1; 6582.2; 1806.1; 7083.1; 151531.1; 4524.1; 9356.1; 9376.1; 5471.1,2030.1; 3177.1
fluorouracil ;zonisamide,AST,0,41R2A1H12BOOX; 5HOXINDACTO2OX; APRTO2; DURAD; H2CO3Dm; THYMDtm; r1418; H2CO3D; GLUPRT,4128.1; 4129.1; 316.1; 2030.1; 216.1; 1806.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 767.1; 377677.1; 4524.1; 761.1; 766.2; 771.2; 5471.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
cannabidiol ;zidovudine,GBM,0,ADEt; ADNt; ADNtm; ALOX5; ALOX52; CAT2p; CATm; CATp; CYTDt; GSNt; GTHO; GTHOm; SPODMn; SPODMx; THYMDt1; THYMDtm; URIt; r0021; r0022; r0488; SPODM; HYXNt; 2M3OVCOAm; CE2006te; PPP9ABCte; CE1918te; 34DHPHAte; 34DHOXMANDte; HMR_8476,4363.1; 38.1; 3177.1; 2030.1; 246.1; 240.1; 847.1; 7083.1; 2936.1; 2876.2; 2876.1; 5743.1; 5742.1; 6609.1; 6647.1; 3156.1; 9356.1; 9376.1; 9429.1,2030.1; 3177.1; 38.1; 847.1
eflornithine ;rifamycin,GBM,0,r2193; r2309; r2310; r2317; ORNDC; HMR_4422; 2HATVACIDthc; 2HATVLACthc; 35DHPVSthc; 3HPVSthc; 3ISPVSthc; 4HATVACIDthc; 4HATVLACthc; 6EPVSthc; ATVACIDOATPtu; ATVLACThc; FVStu; PTVSTtu; PVSOATPtu; RSVtu,10599.1; 6579.1; 11309.1; 6578.1; 4953.1,10599.1; 6579.1; 11309.1; 6578.1; 4953.1
fluorouracil ;acetazolamide,GBM,0,ADNtm; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT; PPP9ABCte,2030.1; 216.1; 1806.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 9356.1; 9429.1; 761.1; 766.2; 771.2; 358.1; 5471.1; 4297.1,2030.1; 23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;brinzolamide,GBM,0,ADNtm; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT; PPP9ABCte,2030.1; 216.1; 1806.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 9429.1; 761.1; 766.2; 771.2; 5471.1,2030.1; 23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;celecoxib,GBM,0,ADNtm; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT; PPP9ABCte,2030.1; 216.1; 1806.1; 763.1; 11238.1; 9536.1; 9536.2; 5743.1; 5742.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 9429.1; 761.1; 766.2; 771.2; 5471.1,2030.1; 23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;diclofenamide,GBM,0,ADNtm; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT; PPP9ABCte,2030.1; 216.1; 1806.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 9429.1; 761.1; 766.2; 771.2; 5471.1,2030.1; 23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;dobutamine,GBM,0,34DHPHAMT; ADNtm; DOPAMT; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT; PPP9ABCte,1312.1; 1312.2; 2030.1; 216.1; 1806.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 9429.1; 761.1; 766.2; 771.2; 5471.1,2030.1; 23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;dorzolamide,GBM,0,ACTNMO; ADNtm; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT; PPP9ABCte,1571.1; 2030.1; 216.1; 1806.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 9429.1; 761.1; 766.2; 771.2; 5471.1,1571.1; 2030.1; 23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;ethoxzolamide,GBM,0,ADNtm; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT; PPP9ABCte,2030.1; 216.1; 1806.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 9356.1; 9429.1; 761.1; 766.2; 771.2; 5471.1; 4297.1,2030.1; 23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;indapamide,GBM,0,ADNtm; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT; PPP9ABCte,2030.1; 216.1; 1806.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 9429.1; 761.1; 766.2; 771.2; 5471.1,2030.1; 23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;methazolamide,GBM,0,ACTNMO; ADNtm; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT; PPP9ABCte,1571.1; 2030.1; 216.1; 1806.1; 763.1; 11238.1; 3028.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 9356.1; 9429.1; 761.1; 766.2; 771.2; 5471.1,1571.1; 2030.1; 23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;resveratrol,GBM,0,3MOXTYROX; 41R1H2MAE12BOOX; 41R2A1H12BOOX; 5HOXINOXDA; ADNtm; ALOX5; ALOX52; APRTO2; CBR2; DURAD; GLCtg; H2CO3Dm; LTA4H; MAOLNOR; THYMDtm; TYROXDAc; RE3430C; H2CO3D; GLUPRT; ORNDC; PPP9ABCte; HMR_4422; HMR_6747,4128.1; 4129.1; 2030.1; 216.1; 246.1; 240.1; 873.1; 6513.1; 1806.1; 763.1; 11238.1; 3028.1; 4048.1; 5743.1; 5742.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 9429.1; 761.1; 766.2; 771.2; 5471.1; 4953.1; 4297.1,2030.1; 23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;sulfanilamide,GBM,0,ACTNMO; ADNtm; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT; PPP9ABCte,1571.1; 2030.1; 216.1; 1806.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 9429.1; 761.1; 766.2; 771.2; 5471.1,1571.1; 2030.1; 23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;topiramate,GBM,0,ADNtm; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT; PPP9ABCte,2030.1; 216.1; 1806.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 4524.1; 9429.1; 761.1; 766.2; 771.2; 5471.1,2030.1; 23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;zidovudine,GBM,0,ADEt; ADNt; ADNtm; CYTDt; DURAD; GSNt; THYMDt1; THYMDtm; URIt; GLUPRT; HYXNt; PPP9ABCte; CE1918te; 34DHPHAte; 34DHOXMANDte; HMR_8476,3177.1; 2030.1; 216.1; 1806.1; 7083.1; 151531.1; 4524.1; 9356.1; 9376.1; 9429.1; 5471.1,2030.1; 3177.1
fluorouracil ;zonisamide,GBM,0,3MOXTYROX; 41R1H2MAE12BOOX; 41R2A1H12BOOX; 5HOXINDACTO2OX; 5HOXINOXDA; ADNtm; APRTO2; DURAD; H2CO3Dm; MAOLNOR; THYMDtm; TYROXDAc; r1418; H2CO3D; GLUPRT; PPP9ABCte; HMR_6747,4128.1; 4129.1; 316.1; 2030.1; 216.1; 1806.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 767.1; 377677.1; 4524.1; 9429.1; 761.1; 766.2; 771.2; 5471.1,2030.1; 23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
cannabidiol ;adapalene,ODG,0,3SALATAi; ALOX5; ALOX52; CAT2p; CATm; CATp; CYSTA; GTHO; GTHOm; LCYSTAT; SPODMn; SPODMx; THYMDtm; r0021; r0022; r0488; ASPTA; SPODM; PHETA1; 2M3OVCOAm; CE2006te; HMR_4630,2805.1; 4363.1; 38.1; 2030.1; 246.1; 240.1; 847.1; 2936.1; 2876.2; 2876.1; 5743.1; 5742.1; 6609.1; 6647.1; 3156.1; 9429.1; 4297.1,2805.1; 2936.1; 847.1
cannabidiol ;zidovudine,ODG,0,ADEt; ALOX5; ALOX52; CAT2p; CATm; CATp; CYTDt; GSNt; GTHO; GTHOm; SPODMn; SPODMx; THYMDtm; URIt; r0021; r0022; r0488; FOLOAT2tc; SPODM; 2M3OVCOAm; CE2006te; 34DHPHAte; HMR_4630,4363.1; 38.1; 3177.1; 2030.1; 246.1; 240.1; 847.1; 7083.1; 10257.1; 2936.1; 2876.2; 2876.1; 5743.1; 5742.1; 6609.1; 6647.1; 3156.1; 10057.1; 10864.1; 9356.1; 9376.1; 9429.1; 55867.1,2030.1; 3177.1; 847.1
fluorouracil ;acetazolamide,ODG,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT,2030.1; 216.1; 1806.1; 10257.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 10057.1; 4524.1; 10864.1; 9356.1; 9429.1; 761.1; 766.2; 771.2; 358.1; 5471.1; 4297.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;brinzolamide,ODG,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT,2030.1; 216.1; 1806.1; 10257.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 10057.1; 4524.1; 10864.1; 9429.1; 761.1; 766.2; 771.2; 5471.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;celecoxib,ODG,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT,2030.1; 216.1; 1806.1; 10257.1; 763.1; 11238.1; 8654.2; 8654.3; 8654.1; 9536.1; 9536.2; 5743.1; 5742.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 10057.1; 4524.1; 10864.1; 9429.1; 761.1; 766.2; 771.2; 5471.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;diclofenamide,ODG,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT,2030.1; 216.1; 1806.1; 10257.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 10057.1; 4524.1; 10864.1; 9429.1; 761.1; 766.2; 771.2; 5471.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;dobutamine,ODG,0,34DHPHAMT; DOPAMT; DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT,1312.1; 1312.2; 2030.1; 216.1; 1806.1; 10257.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 10057.1; 4524.1; 10864.1; 9429.1; 761.1; 766.2; 771.2; 5471.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;dorzolamide,ODG,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT,2030.1; 216.1; 1806.1; 10257.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 10057.1; 4524.1; 10864.1; 9429.1; 761.1; 766.2; 771.2; 5471.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;ethoxzolamide,ODG,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT,2030.1; 216.1; 1806.1; 10257.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 10057.1; 4524.1; 10864.1; 9356.1; 9429.1; 761.1; 766.2; 771.2; 5471.1; 4297.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;indapamide,ODG,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT,2030.1; 216.1; 1806.1; 10257.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 10057.1; 4524.1; 10864.1; 9429.1; 761.1; 766.2; 771.2; 5471.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;methazolamide,ODG,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT,2030.1; 216.1; 1806.1; 10257.1; 763.1; 11238.1; 3028.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 10057.1; 4524.1; 10864.1; 9356.1; 9429.1; 761.1; 766.2; 771.2; 5471.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;resveratrol,ODG,0,41R2A1H12BOOX; ALOX5; ALOX52; APRTO2; CBR2; DURAD; GLCtg; H2CO3Dm; LTA4H; THYMDtm; H2CO3D; GLUPRT; ORNDC; HMR_4422,4128.1; 4129.1; 2030.1; 216.1; 246.1; 240.1; 873.1; 6513.1; 1806.1; 10257.1; 763.1; 11238.1; 3028.1; 4048.1; 5743.1; 5742.1; 5291.1; 5290.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 10057.1; 4524.1; 10864.1; 9429.1; 761.1; 766.2; 771.2; 5471.1; 4953.1; 4297.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;sulfanilamide,ODG,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT,2030.1; 216.1; 1806.1; 10257.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 10057.1; 4524.1; 10864.1; 9429.1; 761.1; 766.2; 771.2; 5471.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;topiramate,ODG,0,DURAD; H2CO3Dm; THYMDtm; H2CO3D; GLUPRT,2030.1; 216.1; 1806.1; 10257.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 377677.1; 10057.1; 4524.1; 10864.1; 9429.1; 761.1; 766.2; 771.2; 5471.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
fluorouracil ;zidovudine,ODG,0,ADEt; CYTDt; DURAD; GSNt; THYMDtm; URIt; FOLOAT2tc; GLUPRT; 34DHPHAte,3177.1; 2030.1; 216.1; 1806.1; 7083.1; 10257.1; 151531.1; 10057.1; 4524.1; 10864.1; 9356.1; 9376.1; 9429.1; 55867.1; 5471.1,2030.1; 3177.1
fluorouracil ;zonisamide,ODG,0,41R2A1H12BOOX; 5HOXINDACTO2OX; APRTO2; DURAD; H2CO3Dm; THYMDtm; r1418; H2CO3D; GLUPRT,4128.1; 4129.1; 316.1; 2030.1; 216.1; 1806.1; 10257.1; 763.1; 11238.1; 151531.1; 771.1; 760.1; 768.1; 23632.1; 765.1; 759.1; 762.1; 766.1; 767.1; 377677.1; 10057.1; 4524.1; 10864.1; 9429.1; 761.1; 766.2; 771.2; 5471.1,23632.1; 377677.1; 5471.1; 759.1; 760.1; 761.1; 762.1; 765.1; 766.1; 766.2; 768.1; 771.1; 771.2
