Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Drugs
3,3,3,7,ALDH1A1; ALOX15; MAOB,ALDH1A1; ALOX15; MAOB,ALDH1A1; ALOX15; MAOB,ALDH1A1; ALOX15; CYP1A2; CYP1B1; CYP2C19; MAOB; XDH,procarbazine
0,1,1,10,,ABCG2,ABCG2,ABCB1; ABCG2; CYP2B6; CYP2C19; CYP2C8; CYP2C9; CYP3A4; EPHX2; UGT1A1; UGT1A9,regorafenib
0,0,0,0,,,,,talampanel
1,2,2,4,KMT2A,ABCG2; KMT2A,ABCG2; KMT2A,ABCB1; ABCG2; CYP3A4; KMT2A,temozolomide
0,0,0,0,,,,,trabedersen
0,0,0,2,,,,CYP2C8; CYP3A4,trametinib
0,0,0,0,,,,,trametinib-dabrafenib
4,4,4,9,ALDH1A1; ALOX12; HPGDS; KMT2A,ALDH1A1; ALOX12; HPGDS; KMT2A,ALDH1A1; ALOX12; HPGDS; KMT2A,ALDH1A1; ALOX12; CYP2C9; CYP3A4; HPGD; HPGDS; KMT2A; NPC1; PKM,tranilast
4,5,4,15,ABCC1; ABCC2; SLC22A3; SLCO1B1,ABCC1; ABCG2; RALBP1; SLC22A3; SLCO1B1,ABCC1; ABCC2; ABCG2; SLCO1B1,ABCB1; ABCB11; ABCC1; ABCC2; ABCC3; ABCG2; CYP3A4; CYP3A5; CYP3A7; GAA; NPC1; RALBP1; SLC22A3; SLCO1B1; SLCO1B3,vincristine
7,7,7,7,ABCC1; CA12; CA14; CA2; CA9; FDPS; GGPS1,ABCC1; CA12; CA14; CA2; CA9; FDPS; GGPS1,ABCC1; CA12; CA14; CA2; CA9; FDPS; GGPS1,ABCC1; CA12; CA14; CA2; CA9; FDPS; GGPS1,zoledronic acid
